frame,abs_dx_px,scale_change
1,2.7487,0.001575
2,2.6383,0.003053
3,3.9642,0.000229
4,3.9194,0.002585
5,3.4107,0.004939
6,5.7749,0.000373
7,6.4599,0.000306
8,7.0503,0.00043
9,7.8862,0.000296
10,8.5418,0.000383
11,9.4169,0.000238
12,10.2659,8e-05
13,11.1392,0.000139
14,12.1386,0.000191
15,13.0352,0.000117
16,13.7276,6e-05
17,14.6697,8.6e-05
18,15.292,0.000127
19,15.9951,0.00053
20,16.7459,0.000271
21,17.5845,0.000588
22,18.2551,0.001129
23,19.1575,0.00183
24,20.2872,0.000536
25,21.1479,0.000719
26,21.74,9.2e-05
27,22.4246,0.000614
28,23.0788,0.000716
29,23.573,0.000284
30,24.4402,0.000256
31,24.556,0.00031
32,24.9802,0.001218
33,25.6066,0.0012
34,25.4702,7e-06
35,25.6268,0.002244
36,25.5173,0.001242
37,25.1491,0.002259
38,25.1417,0.001142
39,24.5568,0.002278
40,24.3564,0.002605
41,24.0408,0.002104
42,23.9001,0.000552
43,23.6229,0.001826
44,23.4435,0.000444
45,23.3075,0.00152
46,23.3395,0.001611
47,23.524,0.000873
48,23.2551,0.001407
49,23.2423,4.4e-05
50,22.7966,0.001988
51,22.517,0.002633
52,22.5273,0.00131
53,22.416,0.000369
54,22.0881,0.001015
55,21.7932,0.000211
56,21.1916,0.002328
57,21.3594,0.001032
58,20.9274,0.000902
59,20.6991,0.000969
60,19.9838,0.002304
61,19.9588,0.001404
62,19.6562,0.001368
63,19.3515,0.000623
64,18.9281,0.001074
65,18.9341,0.001164
66,18.68,0.001668
67,18.6896,0.000793
68,18.6075,0.001177
69,18.1563,0.001489
70,17.8797,0.000955
71,17.3108,0.001254
72,16.8894,0.001544
73,16.3622,0.001333
74,15.677,0.001792
75,15.3719,0.001786
76,14.6343,0.00203
77,14.0132,0.002187
78,13.3732,0.002358
79,12.7424,0.002426
80,12.0379,0.002596
81,11.5931,0.002354
82,10.917,0.002534
83,10.1921,0.002541
84,9.4642,0.002481
85,9.0899,0.002486
86,8.4014,0.002508
87,7.772,0.002554
88,7.2864,0.002272
89,6.7233,0.002256
90,6.3265,0.002388
91,5.9115,0.002517
92,5.5181,0.002409
93,5.3891,0.002427
94,5.0412,0.002494
95,4.8828,0.002341
96,4.6559,0.002407
97,4.4837,0.00245
98,4.1606,0.002727
99,3.6857,0.002843
100,3.8672,0.002795
101,3.4394,0.002754
102,3.1992,0.002982
103,3.1574,0.002955
104,2.9659,0.002969
105,2.8932,0.002867
106,2.8956,0.002826
107,2.6974,0.002848
108,2.3991,0.002243
109,2.5455,0.002762
110,2.2993,0.002654
111,2.2094,0.002568
112,2.1707,0.002719
113,1.8056,0.002569
114,1.5723,0.002374
115,1.5563,0.002372
116,1.1541,0.001777
