frame,abs_dx_px,scale_change
1,0.0497,3.6e-05
2,0.0771,4.3e-05
3,0.0017,0.00012
4,0.0658,6e-06
5,0.0032,5.2e-05
6,0.0562,3e-05
7,0.0565,1e-05
8,0.0474,2e-05
9,0.0846,1.2e-05
10,0.1078,2e-06
11,0.0831,5e-05
12,0.0569,2e-05
13,0.0383,1.4e-05
14,0.0059,7.9e-05
15,0.0714,2e-05
16,0.0652,4.8e-05
17,0.0907,1.9e-05
18,0.1383,0.000101
19,0.1726,8.4e-05
20,0.3071,0.000212
21,0.5385,0.000366
22,0.5482,0.000327
23,0.6482,0.000311
24,0.8097,0.000389
25,0.7681,0.000373
26,0.7219,0.000365
27,0.7292,0.000395
28,0.7275,0.000376
29,0.7872,0.000386
30,0.7556,0.000235
31,0.7812,0.000297
32,1.0178,0.000392
33,1.0989,0.000395
34,1.207,0.000448
35,0.5508,0.000184
36,0.0021,2e-06
37,0.5198,0.000145
38,1.2872,0.000532
39,1.3845,0.000513
40,1.3263,0.000576
41,1.4103,0.00073
42,1.3902,0.000736
43,1.3843,0.000896
44,1.3574,0.000964
45,1.2215,0.000921
46,1.1485,0.000872
47,1.1619,0.000844
48,1.1666,0.000701
49,1.0946,0.000571
50,1.22,0.000498
51,1.3742,0.000507
52,1.4117,0.000481
53,1.4646,0.000423
54,1.6241,0.000406
55,1.7714,0.00046
56,1.8035,0.000556
57,1.8038,0.00056
58,1.5963,0.000643
59,1.5034,0.000662
60,1.4258,0.000719
61,1.3041,0.00069
62,1.1298,0.000626
63,1.0289,0.000675
64,0.7785,0.000571
65,0.6987,0.000546
66,0.5683,0.000513
67,0.5524,0.000475
68,0.5543,0.000502
69,0.4092,0.000326
70,0.3235,0.000196
71,0.2437,0.000261
72,0.2153,9.6e-05
73,0.0801,0.000151
74,0.1021,0.000182
75,0.0851,0.000259
76,0.1047,0.000267
77,0.094,0.000178
78,0.0748,0.00016
79,0.0681,0.000184
80,0.021,0.00021
81,0.0046,0.000201
82,0.0176,0.000122
83,0.038,0.000171
84,0.0302,0.000174
85,0.0566,0.000115
86,0.0284,7.1e-05
87,0.0848,5.7e-05
88,0.13,1.6e-05
89,0.1085,5.1e-05
90,0.1339,4.8e-05
91,0.0947,1e-05
92,0.0435,3e-05
93,0.0176,2.3e-05
94,0.0366,2.6e-05
95,0.0207,1.6e-05
96,0.0249,8e-05
97,0.1791,2.8e-05
98,0.4181,0.000125
99,0.6643,0.000324
100,1.2637,0.000473
101,1.8905,0.000826
102,2.6601,0.001066
103,4.3513,9.6e-05
104,5.6369,6.3e-05
105,7.0146,0.000142
106,8.2216,0.000145
107,9.4433,0.000267
108,10.3853,7.7e-05
109,11.4169,0.000189
110,12.2616,5.2e-05
111,13.2527,0.000227
112,14.1334,0.000204
113,15.1764,0.000231
114,16.1947,1.8e-05
115,17.3509,9.3e-05
116,18.4392,5.6e-05
117,19.5895,0.000149
118,20.4221,0.000268
119,21.492,0.000153
120,22.3967,0.000131
121,23.4226,4.7e-05
122,24.1732,1.7e-05
123,25.155,0.000514
124,25.6392,1.5e-05
125,26.3126,5.4e-05
126,26.7881,0.000103
127,27.026,0.000338
128,27.0459,3.7e-05
129,27.3126,0.000491
130,27.4119,0.000757
131,27.5927,3.1e-05
132,27.1547,0.000513
133,27.2559,0.000985
134,27.0968,0.000107
135,26.4954,0.001384
136,25.9791,0.001889
137,25.8053,0.000251
138,25.1843,0.000247
139,24.4266,0.000775
140,24.1909,7.6e-05
141,23.6702,3.5e-05
142,22.819,0.000376
143,22.5931,0.000142
144,21.6296,0.00033
145,20.9753,0.000258
146,20.0479,0.000109
147,19.4136,0.000256
148,18.6658,0.000243
149,18.4122,0.000117
150,17.7227,0.000222
151,17.1955,0.000363
152,17.3246,0.000432
153,17.6427,0.000256
154,17.6801,5.8e-05
155,17.6969,0.000308
156,18.3406,0.000825
157,18.8814,0.000408
158,18.6255,0.001143
159,18.6652,0.000104
160,18.9095,0.000132
161,18.8524,0.000504
162,18.7434,0.00025
163,19.0759,0.000682
164,19.3436,0.000431
165,19.2251,5.2e-05
166,19.0064,0.000401
167,19.1529,0.000268
168,19.6018,0.000144
169,20.0824,0.000333
