clip,frame,keypoint_index,displacement_px
clip_1,22,7,17.637369
clip_1,22,8,18.566376
clip_1,22,9,18.448984
clip_1,23,0,21.949182
clip_1,23,1,22.070232
clip_1,23,2,21.564154
clip_1,23,6,16.954168
clip_1,23,7,18.253752
clip_1,23,8,18.700823
clip_1,23,9,17.615167
clip_1,24,0,21.501109
clip_1,24,1,21.866267
clip_1,24,2,22.008140
clip_1,24,6,19.384777
clip_1,24,7,21.116751
clip_1,24,8,19.326477
clip_1,24,9,19.766655
clip_1,25,0,23.475880
clip_1,25,1,23.950666
clip_1,25,2,23.146121
clip_1,25,6,15.839797
clip_1,25,7,15.505345
clip_1,25,8,22.012800
clip_1,25,9,22.352076
clip_1,26,0,34.831736
clip_1,26,1,35.313412
clip_1,26,6,8.200610
clip_1,26,7,9.900590
clip_1,26,8,22.488295
clip_1,26,9,21.635026
clip_1,27,0,23.969187
clip_1,27,1,23.907367
clip_1,27,6,22.647328
clip_1,27,7,22.704932
clip_1,27,8,21.655815
clip_1,27,9,21.521048
clip_1,28,0,21.229313
clip_1,28,1,20.938696
clip_1,28,6,21.342077
clip_1,28,7,20.972311
clip_1,28,8,21.909085
clip_1,28,9,22.549043
clip_1,29,0,28.053526
clip_1,29,1,25.436987
clip_1,29,6,23.170822
clip_1,29,7,22.325113
clip_1,29,8,24.758958
clip_1,29,9,25.705697
clip_1,30,0,26.579432
clip_1,30,6,20.673855
clip_1,30,7,21.892507
clip_1,30,8,26.000752
clip_1,30,9,26.524000
clip_1,31,0,6.300849
clip_1,31,6,28.128155
clip_1,31,7,16.706343
clip_1,31,8,22.183896
clip_1,31,9,24.771101
clip_1,32,6,25.262132
clip_1,32,7,24.936609
clip_1,32,8,21.416855
clip_1,32,9,21.188213
clip_1,33,6,24.012490
clip_1,33,7,25.811110
clip_1,33,8,33.626034
clip_1,33,9,34.337102
clip_1,34,6,26.221835
clip_1,34,7,27.116734
clip_1,34,8,26.494749
clip_1,34,9,26.964256
clip_1,35,6,26.936758
clip_1,35,7,27.973637
clip_1,35,8,31.300454
clip_1,35,9,32.024692
clip_1,36,7,32.245144
clip_1,36,8,29.644213
clip_1,36,9,34.120399
clip_1,37,7,28.946599
clip_1,37,8,15.517305
clip_1,37,9,16.031276
clip_1,38,6,23.879570
clip_1,38,7,28.130845
clip_1,38,8,31.678626
clip_1,38,9,25.326641
clip_1,39,6,20.565791
clip_1,39,7,20.292293
clip_1,39,8,19.450010
clip_1,40,6,24.054846
clip_1,40,7,24.267492
clip_1,40,8,20.783516
clip_1,41,6,23.008100
clip_1,41,7,22.202263
clip_1,41,8,23.194182
clip_1,42,6,23.941249
clip_1,42,7,23.919621
clip_1,43,6,17.946223
clip_1,43,7,16.853066
clip_1,44,6,27.976715
clip_1,44,7,25.678030
clip_1,45,6,29.192167
clip_1,45,7,27.469668
clip_1,46,6,28.207368
clip_1,46,7,28.081640
clip_1,47,6,21.945102
clip_1,47,7,25.632388
clip_1,47,16,21.821090
clip_1,48,6,24.300960
clip_1,48,7,26.324181
clip_1,48,16,25.664463
clip_1,49,6,26.197762
clip_1,49,7,26.507278
clip_1,49,16,14.211203
clip_1,49,17,14.019406
clip_1,50,6,24.464368
clip_1,50,7,25.010182
clip_1,50,16,28.657162
clip_1,50,17,25.619951
clip_1,51,6,27.440317
clip_1,51,7,28.753280
clip_1,51,16,25.933927
clip_1,51,17,25.054674
clip_1,52,6,18.474655
clip_1,52,7,13.505016
clip_1,52,16,12.050383
clip_1,52,17,17.048675
clip_1,53,6,23.131905
clip_1,53,7,19.645821
clip_1,53,16,15.693041
clip_1,53,17,11.124685
clip_1,54,6,22.146244
clip_1,54,7,22.202187
clip_1,54,16,19.574282
clip_1,54,17,20.745736
clip_1,55,6,26.395116
clip_1,55,7,26.017107
clip_1,55,16,28.479526
clip_1,55,17,29.017907
clip_1,56,6,16.377048
clip_1,56,7,16.073641
clip_1,56,16,21.729200
clip_1,56,17,22.399153
clip_1,57,6,23.469332
clip_1,57,7,23.845661
clip_1,57,16,17.825791
clip_1,57,17,16.599896
clip_1,58,6,24.559985
clip_1,58,7,22.179209
clip_1,58,16,14.863973
clip_1,58,17,16.270648
clip_1,59,6,21.074451
clip_1,59,7,21.770862
clip_1,59,15,14.063614
clip_1,59,16,21.552128
clip_1,59,17,21.065265
clip_1,60,6,23.168957
clip_1,60,7,23.120652
clip_1,60,14,12.547822
clip_1,60,15,18.350614
clip_1,60,16,20.191500
clip_1,60,17,20.069941
clip_1,61,6,14.289489
clip_1,61,7,12.819875
clip_1,61,14,40.485042
clip_1,61,15,42.516398
clip_1,61,16,29.369971
clip_1,61,17,28.632025
clip_1,62,6,14.021987
clip_1,62,7,13.499004
clip_1,62,14,22.963893
clip_1,62,15,23.341887
clip_1,62,16,20.482205
clip_1,62,17,22.329712
clip_1,63,6,19.583049
clip_1,63,7,18.566349
clip_1,63,14,16.942162
clip_1,63,15,17.357155
clip_1,63,16,16.277967
clip_1,63,17,16.581776
clip_1,64,6,20.133950
clip_1,64,7,19.883374
clip_1,64,14,17.891296
clip_1,64,15,17.931061
clip_1,64,16,17.958933
clip_1,64,17,18.901555
clip_1,65,6,22.302763
clip_1,65,7,22.069152
clip_1,65,14,18.566943
clip_1,65,15,18.803243
clip_1,65,16,17.469944
clip_1,65,17,17.343995
clip_1,66,6,31.086445
clip_1,66,7,26.670283
clip_1,66,14,16.811405
clip_1,66,15,13.799615
clip_1,66,16,16.802187
clip_1,66,17,20.279140
clip_1,67,6,18.237039
clip_1,67,7,18.071649
clip_1,67,13,21.454628
clip_1,67,14,21.496323
clip_1,67,15,21.050250
clip_1,67,16,19.677311
clip_1,67,17,19.666400
clip_1,68,6,14.634813
clip_1,68,7,15.968423
clip_1,68,13,17.085206
clip_1,68,14,17.444770
clip_1,68,15,17.197243
clip_1,68,16,14.706234
clip_1,68,17,14.365481
clip_1,69,6,15.101084
clip_1,69,7,20.955260
clip_1,69,13,5.861506
clip_1,69,14,7.673441
clip_1,69,15,6.363641
clip_1,69,16,14.350022
clip_1,69,17,11.090373
clip_1,70,7,22.896659
clip_1,70,13,32.896800
clip_1,70,14,32.489449
clip_1,70,15,35.877442
clip_1,70,16,23.968907
clip_1,70,17,23.530711
clip_1,71,7,4.739873
clip_1,71,13,20.603391
clip_1,71,14,19.537560
clip_1,71,15,18.564747
clip_1,71,16,14.770941
clip_1,71,17,16.471434
clip_1,72,7,18.063701
clip_1,72,13,14.973318
clip_1,72,14,14.745689
clip_1,72,15,14.015816
clip_1,72,16,16.068896
clip_1,72,17,16.779246
clip_1,73,7,22.461297
clip_1,73,12,13.944124
clip_1,73,13,15.392280
clip_1,73,14,16.043180
clip_1,73,15,15.935722
clip_1,73,16,16.690312
clip_1,73,17,16.126703
clip_1,74,12,12.972148
clip_1,74,13,13.753715
clip_1,74,14,14.283771
clip_1,74,15,14.183355
clip_1,74,16,17.723313
clip_1,74,17,17.473078
clip_1,75,12,14.339191
clip_1,75,13,15.240303
clip_1,75,14,15.792473
clip_1,75,15,15.639789
clip_1,75,16,13.013195
clip_1,75,17,12.393257
clip_1,76,12,11.295159
clip_1,76,13,10.258603
clip_1,76,14,5.605900
clip_1,76,15,4.457776
clip_1,76,16,15.383582
clip_1,76,17,13.945967
clip_1,77,12,16.899551
clip_1,77,13,16.975224
clip_1,77,14,16.408289
clip_1,77,15,16.513110
clip_1,77,16,15.812686
clip_1,77,17,16.367600
clip_1,78,12,10.060978
clip_1,78,13,10.688761
clip_1,78,14,10.351357
clip_1,78,15,10.722431
clip_1,78,16,11.402128
clip_1,78,17,11.668345
clip_1,79,12,14.328875
clip_1,79,13,13.490303
clip_1,79,14,12.463404
clip_1,79,15,12.293447
clip_1,79,16,11.230674
clip_1,79,17,12.706919
clip_1,80,12,5.572876
clip_1,80,13,8.360523
clip_1,80,14,11.206476
clip_1,80,15,9.402087
clip_1,80,16,5.724195
clip_1,80,17,5.611433
clip_1,81,12,10.072471
clip_1,81,13,10.299909
clip_1,81,14,9.539096
clip_1,81,15,9.963094
clip_1,81,16,12.792161
clip_1,81,17,16.155200
clip_1,82,12,9.989110
clip_1,82,13,11.061687
clip_1,82,14,13.178564
clip_1,82,15,12.790966
clip_1,82,16,9.888864
clip_1,82,17,5.243586
clip_1,83,12,8.750582
clip_1,83,13,8.642617
clip_1,83,14,8.609992
clip_1,83,15,8.454951
clip_1,83,16,10.180158
clip_1,83,17,10.320295
clip_1,84,12,7.440293
clip_1,84,13,7.777324
clip_1,84,14,8.945227
clip_1,84,15,8.822175
clip_1,84,16,10.656731
clip_1,84,17,10.242406
clip_1,85,12,7.608675
clip_1,85,13,8.007900
clip_1,85,14,8.725222
clip_1,85,15,8.731622
clip_1,85,16,9.545884
clip_1,85,17,9.151465
clip_1,86,12,7.296052
clip_1,86,13,6.937006
clip_1,86,14,6.851548
clip_1,86,15,6.693060
clip_1,86,16,7.483481
clip_1,86,17,7.652423
clip_1,87,12,5.072785
clip_1,87,13,6.691945
clip_1,87,14,8.293384
clip_1,87,15,8.464274
clip_1,87,16,8.787875
clip_1,87,17,7.374199
clip_1,88,12,4.782423
clip_1,88,13,5.260554
clip_1,88,14,1.914499
clip_1,88,15,3.808338
clip_1,88,16,6.595878
clip_1,88,17,9.317086
clip_1,89,12,5.770337
clip_1,89,13,6.911519
clip_1,89,14,7.416612
clip_1,89,15,7.689879
clip_1,89,16,7.325150
clip_1,89,17,6.460920
clip_1,90,11,6.617920
clip_1,90,12,7.467075
clip_1,90,13,7.387785
clip_1,90,14,7.296985
clip_1,90,15,7.598148
clip_1,90,16,7.727522
clip_1,90,17,7.582886
clip_1,91,11,3.420138
clip_1,91,12,3.613611
clip_1,91,13,3.697832
clip_1,91,14,3.651415
clip_1,91,15,3.792187
clip_1,91,16,5.339477
clip_1,91,17,5.227057
clip_1,92,11,5.247466
clip_1,92,12,6.721381
clip_1,92,13,7.144465
clip_1,92,14,7.232849
clip_1,92,15,7.453074
clip_1,92,16,4.429541
clip_1,92,17,3.886360
clip_1,93,11,3.234437
clip_1,93,12,5.219087
clip_1,93,13,6.909470
clip_1,93,14,8.144743
clip_1,93,15,8.480689
clip_1,93,16,9.327010
clip_1,93,17,7.912916
clip_1,94,11,2.915191
clip_1,94,12,2.306879
clip_1,94,13,1.854069
clip_1,94,14,2.015404
clip_1,94,15,1.689334
clip_1,94,16,4.082791
clip_1,94,17,4.271233
clip_1,95,11,3.644315
clip_1,95,12,3.617606
clip_1,95,13,3.233447
clip_1,95,14,3.298960
clip_1,95,15,3.171078
clip_1,95,16,1.791886
clip_1,95,17,2.279300
clip_1,96,11,2.207895
clip_1,96,12,3.933883
clip_1,96,13,5.602573
clip_1,96,14,6.081018
clip_1,96,15,6.506497
clip_1,96,16,7.863236
clip_1,96,17,6.648214
clip_1,97,11,3.259496
clip_1,97,12,3.819369
clip_1,97,13,3.657040
clip_1,97,14,3.921915
clip_1,97,15,4.012145
clip_1,97,16,2.094142
clip_1,97,17,2.290007
clip_1,98,11,7.118284
clip_1,98,12,5.857403
clip_1,98,13,4.491877
clip_1,98,14,4.249814
clip_1,98,15,4.299514
clip_1,98,16,3.425221
clip_1,98,17,4.300903
clip_1,99,11,3.586202
clip_1,99,12,3.396204
clip_1,99,13,3.332950
clip_1,99,14,3.895552
clip_1,99,15,3.964832
clip_1,99,16,4.314903
clip_1,99,17,3.937481
clip_1,100,11,6.254748
clip_1,100,12,4.325304
clip_1,100,13,3.082590
clip_1,100,14,3.615022
clip_1,100,15,3.601826
clip_1,100,16,6.750525
clip_1,100,17,7.072135
clip_1,101,11,3.324315
clip_1,101,12,4.183031
clip_1,101,13,4.452884
clip_1,101,14,4.506936
clip_1,101,15,4.643371
clip_1,101,16,2.405471
clip_1,101,17,1.896666
clip_1,102,11,2.569489
clip_1,102,12,2.891134
clip_1,102,13,3.027117
clip_1,102,14,3.184480
clip_1,102,15,3.218775
clip_1,102,16,2.898318
clip_1,102,17,2.842598
clip_1,103,11,1.609016
clip_1,103,12,1.208470
clip_1,103,13,1.462400
clip_1,103,14,1.776400
clip_1,103,15,1.794103
clip_1,103,16,1.729982
clip_1,103,17,1.459710
clip_1,104,11,1.455782
clip_1,104,12,2.582713
clip_1,104,13,3.153937
clip_1,104,14,3.380788
clip_1,104,15,3.481546
clip_1,104,16,3.991382
clip_1,104,17,3.703402
clip_1,105,11,1.098364
clip_1,105,12,1.974506
clip_1,105,13,2.676059
clip_1,105,14,3.144781
clip_1,105,15,3.199544
clip_1,105,16,4.173251
clip_1,105,17,3.596485
clip_1,106,11,2.032839
clip_1,106,12,1.692867
clip_1,106,13,1.703753
clip_1,106,14,2.226912
clip_1,106,15,2.347974
clip_1,106,16,4.666723
clip_1,106,17,4.440424
clip_1,107,11,2.122992
clip_1,107,12,2.349597
clip_1,107,13,2.775078
clip_1,107,14,3.463132
clip_1,107,15,3.692627
clip_1,107,16,4.338092
clip_1,107,17,3.921208
clip_1,108,11,0.556696
clip_1,108,12,1.874719
clip_1,108,13,2.619604
clip_1,108,14,3.406030
clip_1,108,15,3.445155
clip_1,108,16,2.461636
clip_1,108,17,1.806929
clip_1,109,11,4.484131
clip_1,109,12,3.150896
clip_1,109,13,2.537023
clip_1,109,14,2.172316
clip_1,109,15,2.159915
clip_1,109,16,3.687424
clip_1,109,17,4.068002
clip_1,110,11,0.905232
clip_1,110,12,1.202585
clip_1,110,13,1.557415
clip_1,110,14,1.987604
clip_1,110,15,2.128611
clip_1,110,16,1.789333
clip_1,110,17,1.443411
clip_1,111,11,1.689820
clip_1,111,12,2.213526
clip_1,111,13,2.186535
clip_1,111,14,2.440126
clip_1,111,15,2.480658
clip_1,111,16,2.810206
clip_1,111,17,2.590689
clip_1,112,11,1.663372
clip_1,112,12,1.601497
clip_1,112,13,1.783070
clip_1,112,14,1.930379
clip_1,112,15,1.986171
clip_1,112,16,1.990608
clip_1,112,17,1.809318
clip_1,113,11,2.126925
clip_1,113,12,2.086394
clip_1,113,13,2.294731
clip_1,113,14,2.336019
clip_1,113,15,2.402340
clip_1,113,16,2.216514
clip_1,113,17,1.989793
clip_1,114,11,1.523908
clip_1,114,12,0.828976
clip_1,114,13,1.079268
clip_1,114,14,1.712415
clip_1,114,15,1.859003
clip_1,114,16,3.345380
clip_1,114,17,3.071042
clip_1,115,11,1.388181
clip_1,115,12,1.676064
clip_1,115,13,1.536334
clip_1,115,14,1.559509
clip_1,115,15,1.650691
clip_1,115,16,2.566264
clip_1,115,17,2.897735
clip_1,116,11,2.053051
clip_1,116,12,1.399107
clip_1,116,13,0.765031
clip_1,116,14,0.399677
clip_1,116,15,0.310291
clip_1,116,16,2.639761
clip_1,116,17,3.197619
clip_2,1,10,1.044144
clip_2,1,11,0.774530
clip_2,1,12,0.466872
clip_2,1,13,0.685533
clip_2,1,14,0.797734
clip_2,1,15,0.777065
clip_2,1,16,0.934280
clip_2,1,17,0.558548
clip_2,2,10,1.487993
clip_2,2,11,1.328139
clip_2,2,12,0.672603
clip_2,2,13,0.064894
clip_2,2,14,0.412113
clip_2,2,15,0.406272
clip_2,2,16,1.467190
clip_2,2,17,1.753724
clip_2,3,10,0.335942
clip_2,3,11,0.256997
clip_2,3,12,0.226092
clip_2,3,13,0.116916
clip_2,3,14,0.254896
clip_2,3,15,0.285776
clip_2,3,16,0.446330
clip_2,3,17,0.514183
clip_2,4,10,1.026139
clip_2,4,11,0.811306
clip_2,4,12,0.434597
clip_2,4,13,0.074860
clip_2,4,14,0.291498
clip_2,4,15,0.347145
clip_2,4,16,0.375017
clip_2,4,17,0.394346
clip_2,5,10,0.806059
clip_2,5,11,0.756963
clip_2,5,12,0.290235
clip_2,5,13,0.567663
clip_2,5,14,0.779421
clip_2,5,15,0.777473
clip_2,5,16,2.031936
clip_2,5,17,1.642723
clip_2,6,11,1.765187
clip_2,6,12,0.822185
clip_2,6,13,0.195377
clip_2,6,14,0.247695
clip_2,6,15,0.361948
clip_2,6,16,1.245101
clip_2,6,17,1.530620
clip_2,7,11,0.972736
clip_2,7,12,0.444717
clip_2,7,13,0.251422
clip_2,7,14,0.337615
clip_2,7,15,0.275460
clip_2,7,16,0.618178
clip_2,7,17,0.628582
clip_2,8,11,0.620538
clip_2,8,12,0.356015
clip_2,8,13,0.183482
clip_2,8,14,0.365700
clip_2,8,15,0.350516
clip_2,8,16,0.576702
clip_2,8,17,0.507997
clip_2,9,11,0.409586
clip_2,9,12,0.645512
clip_2,9,13,0.698097
clip_2,9,14,0.560771
clip_2,9,15,0.594231
clip_2,9,16,1.241928
clip_2,9,17,1.485666
clip_2,10,11,0.658201
clip_2,10,12,0.623067
clip_2,10,13,0.458279
clip_2,10,14,0.460668
clip_2,10,15,0.371558
clip_2,10,16,0.532002
clip_2,10,17,0.484837
clip_2,11,10,0.108376
clip_2,11,11,0.116631
clip_2,11,12,0.614247
clip_2,11,13,0.969171
clip_2,11,14,1.375902
clip_2,11,15,1.342939
clip_2,11,16,2.984210
clip_2,11,17,2.782974
clip_2,12,11,1.920007
clip_2,12,12,1.088627
clip_2,12,13,0.508186
clip_2,12,14,0.756064
clip_2,12,15,0.892918
clip_2,12,16,2.849900
clip_2,12,17,2.354647
clip_2,13,11,1.173841
clip_2,13,12,0.529071
clip_2,13,13,0.207764
clip_2,13,14,0.501107
clip_2,13,15,0.633173
clip_2,13,16,1.768825
clip_2,13,17,1.568870
clip_2,14,11,0.927739
clip_2,14,12,0.520829
clip_2,14,13,0.163724
clip_2,14,14,0.169506
clip_2,14,15,0.142643
clip_2,14,16,1.854930
clip_2,14,17,1.517822
clip_2,15,11,0.803751
clip_2,15,12,0.358625
clip_2,15,13,0.921222
clip_2,15,14,0.991756
clip_2,15,15,1.002259
clip_2,15,16,1.041852
clip_2,15,17,1.016164
clip_2,16,11,1.436036
clip_2,16,12,0.688499
clip_2,16,13,0.372823
clip_2,16,14,0.240479
clip_2,16,15,0.196479
clip_2,16,16,0.630883
clip_2,16,17,0.663853
clip_2,17,11,3.354188
clip_2,17,12,1.942245
clip_2,17,13,0.712647
clip_2,17,14,0.648052
clip_2,17,15,0.996161
clip_2,17,16,1.203793
clip_2,17,17,1.575625
clip_2,18,11,3.504852
clip_2,18,12,0.742620
clip_2,18,13,1.112507
clip_2,18,14,2.341796
clip_2,18,15,2.537930
clip_2,18,16,2.217527
clip_2,18,17,1.012364
clip_2,19,11,1.216041
clip_2,19,12,2.208487
clip_2,19,13,2.443546
clip_2,19,14,2.383418
clip_2,19,15,2.310239
clip_2,19,16,2.236249
clip_2,19,17,2.366181
clip_2,20,11,1.503182
clip_2,20,12,0.951722
clip_2,20,13,0.371026
clip_2,20,14,0.546083
clip_2,20,15,0.526353
clip_2,20,16,0.457623
clip_2,20,17,0.748014
clip_2,21,11,4.094279
clip_2,21,12,2.036259
clip_2,21,13,0.474270
clip_2,21,14,0.719285
clip_2,21,15,1.016914
clip_2,21,16,1.025534
clip_2,21,17,1.865006
clip_2,22,11,1.870939
clip_2,22,12,1.703359
clip_2,22,13,0.810454
clip_2,22,14,1.011736
clip_2,22,15,1.095821
clip_2,22,16,1.095394
clip_2,22,17,0.936926
clip_2,23,11,3.418758
clip_2,23,12,2.114666
clip_2,23,13,1.427324
clip_2,23,14,0.649941
clip_2,23,15,0.471905
clip_2,23,16,1.899038
clip_2,23,17,3.027071
clip_2,24,11,5.526949
clip_2,24,12,3.253081
clip_2,24,13,1.716220
clip_2,24,14,0.426817
clip_2,24,15,0.171145
clip_2,24,16,1.532419
clip_2,24,17,3.062542
clip_2,25,11,2.811743
clip_2,25,12,2.336041
clip_2,25,13,2.085581
clip_2,25,14,2.070625
clip_2,25,15,2.202492
clip_2,25,16,1.805208
clip_2,25,17,2.620665
clip_2,26,11,2.973216
clip_2,26,12,2.767736
clip_2,26,13,2.347407
clip_2,26,14,2.037479
clip_2,26,15,1.966926
clip_2,26,16,2.074399
clip_2,26,17,2.235272
clip_2,27,11,3.257706
clip_2,27,12,2.819075
clip_2,27,13,2.532857
clip_2,27,14,2.112496
clip_2,27,15,2.065330
clip_2,27,16,2.379654
clip_2,27,17,2.652624
clip_2,28,11,4.655937
clip_2,28,12,4.090328
clip_2,28,13,3.285128
clip_2,28,14,2.713991
clip_2,28,15,2.616395
clip_2,28,16,3.806918
clip_2,28,17,3.945716
clip_2,29,11,2.685908
clip_2,29,12,2.763214
clip_2,29,13,2.727319
clip_2,29,14,2.737139
clip_2,29,15,2.764143
clip_2,29,16,2.451953
clip_2,29,17,2.410310
clip_2,30,11,2.965498
clip_2,30,12,2.738998
clip_2,30,13,2.436907
clip_2,30,14,2.473444
clip_2,30,15,2.426105
clip_2,30,16,1.841663
clip_2,30,17,2.073354
clip_2,31,11,3.500217
clip_2,31,12,3.190544
clip_2,31,13,2.994303
clip_2,31,14,2.563166
clip_2,31,15,2.590194
clip_2,31,16,3.650617
clip_2,31,17,3.935003
clip_2,32,11,9.574236
clip_2,32,12,6.723307
clip_2,32,13,4.208750
clip_2,32,14,2.463594
clip_2,32,15,2.175953
clip_2,32,16,3.808036
clip_2,32,17,5.393294
clip_2,33,11,6.099114
clip_2,33,12,5.533038
clip_2,33,13,4.733302
clip_2,33,14,4.221290
clip_2,33,15,4.347655
clip_2,33,16,4.651136
clip_2,33,17,4.491173
clip_2,34,11,4.144662
clip_2,34,12,3.685562
clip_2,34,13,4.032323
clip_2,34,14,4.597817
clip_2,34,15,4.749074
clip_2,34,16,3.971853
clip_2,34,17,3.651394
clip_2,35,11,5.002030
clip_2,35,12,4.501678
clip_2,35,13,4.093057
clip_2,35,14,3.405411
clip_2,35,15,3.308018
clip_2,35,16,4.162826
clip_2,35,17,4.696907
clip_2,36,11,3.670796
clip_2,36,12,3.459062
clip_2,36,13,3.563141
clip_2,36,14,3.772835
clip_2,36,15,3.822506
clip_2,36,16,4.110001
clip_2,36,17,3.881455
clip_2,37,11,6.147160
clip_2,37,12,5.710758
clip_2,37,13,5.366695
clip_2,37,14,5.116065
clip_2,37,15,5.167712
clip_2,37,16,4.234750
clip_2,37,17,4.130089
clip_2,38,11,4.189366
clip_2,38,12,3.443798
clip_2,38,13,3.053753
clip_2,38,14,2.791173
clip_2,38,15,2.730198
clip_2,38,16,2.873221
clip_2,38,17,3.463349
clip_2,39,11,7.180903
clip_2,39,12,4.620360
clip_2,39,13,2.902496
clip_2,39,14,1.870131
clip_2,39,15,1.735370
clip_2,39,16,3.682957
clip_2,39,17,4.449207
clip_2,40,12,4.430778
clip_2,40,13,3.384593
clip_2,40,14,2.599951
clip_2,40,15,2.581811
clip_2,40,16,2.001843
clip_2,40,17,3.431649
clip_2,41,12,5.104161
clip_2,41,13,3.544077
clip_2,41,14,2.234395
clip_2,41,15,2.187372
clip_2,41,16,3.083616
clip_2,41,17,4.789579
clip_2,42,12,1.124674
clip_2,42,13,0.704128
clip_2,42,14,0.531063
clip_2,42,15,0.527617
clip_2,42,16,0.600306
clip_2,42,17,0.771201
clip_2,43,12,2.966187
clip_2,43,13,0.747504
clip_2,43,14,1.569459
clip_2,43,15,1.755312
clip_2,43,16,1.092108
clip_2,43,17,2.740493
clip_2,44,12,2.879938
clip_2,44,13,1.932704
clip_2,44,14,1.775231
clip_2,44,15,1.719426
clip_2,44,16,2.261482
clip_2,44,17,1.888139
clip_2,45,12,4.462227
clip_2,45,13,4.486807
clip_2,45,14,3.855418
clip_2,45,15,4.036692
clip_2,45,16,2.639357
clip_2,45,17,3.633467
clip_2,46,12,2.902471
clip_2,46,13,2.570428
clip_2,46,14,2.171636
clip_2,46,15,2.244459
clip_2,46,16,1.560520
clip_2,46,17,2.201765
clip_2,47,12,1.789868
clip_2,47,13,1.642876
clip_2,47,14,2.618172
clip_2,47,15,2.862510
clip_2,47,16,1.988147
clip_2,47,17,3.162622
