clip,frame,keypoint_index,confident_count,residual_m,residual_px,dlt_conditioning
clip_1,18,3,8,0.135659,9.253313,6.287384e-02
clip_1,18,6,8,0.274663,12.156040,5.924105e-02
clip_1,18,7,8,0.311461,4.971767,4.406332e-02
clip_1,18,8,8,0.079784,3.671608,9.672325e-02
clip_1,18,9,8,0.139342,10.820320,8.998646e-02
clip_1,19,0,7,0.031540,0.602191,6.389287e-02
clip_1,19,1,7,0.004497,0.154538,7.203061e-02
clip_1,19,2,7,0.199465,13.529274,5.683203e-02
clip_1,19,6,7,0.359739,14.928000,5.816751e-02
clip_1,19,7,7,0.302169,15.812852,3.777129e-02
clip_1,19,8,7,0.074303,3.233358,6.313329e-02
clip_1,19,9,7,0.149325,8.238582,5.465913e-02
clip_1,20,0,7,0.022887,0.444880,6.519299e-02
clip_1,20,1,7,0.014790,0.546403,7.361973e-02
clip_1,20,2,7,0.196040,13.263435,5.802268e-02
clip_1,20,6,7,0.330109,12.767639,5.948893e-02
clip_1,20,7,7,0.314724,15.401344,3.854458e-02
clip_1,20,8,7,0.078137,3.712193,6.443605e-02
clip_1,20,9,7,0.145157,8.303451,5.577219e-02
clip_1,21,0,7,0.021565,0.773027,6.478288e-02
clip_1,21,1,7,0.007682,0.406212,7.316715e-02
clip_1,21,2,7,0.200629,13.760809,5.779852e-02
clip_1,21,6,7,0.406165,18.547072,5.881192e-02
clip_1,21,7,7,0.354193,21.368064,3.839518e-02
clip_1,21,8,7,0.081910,3.462797,6.416373e-02
clip_1,21,9,7,0.154797,8.109625,5.554827e-02
clip_1,22,0,7,0.022295,1.412640,6.448526e-02
clip_1,22,1,7,0.003620,0.087611,7.292749e-02
clip_1,22,2,7,0.196413,13.604909,5.763628e-02
clip_1,22,6,7,0.460937,24.342204,5.842134e-02
clip_1,22,7,7,0.383661,25.264087,3.825054e-02
clip_1,22,8,7,0.082087,2.553599,6.407058e-02
clip_1,22,9,7,0.154648,7.298152,5.541163e-02
clip_1,23,0,7,0.024195,1.565366,6.435903e-02
clip_1,23,1,7,0.005086,0.272253,7.284382e-02
clip_1,23,2,7,0.205068,14.280997,5.733100e-02
clip_1,23,6,7,0.525965,27.967614,5.838304e-02
clip_1,23,7,7,0.432343,29.789594,3.806547e-02
clip_1,23,8,7,0.083645,2.801843,6.395686e-02
clip_1,23,9,7,0.166916,7.558721,5.539981e-02
clip_1,24,0,7,0.022802,1.087415,6.438696e-02
clip_1,24,1,7,0.031430,1.063490,7.305975e-02
clip_1,24,2,7,0.212255,14.836508,5.737495e-02
clip_1,24,6,7,0.549997,27.045291,5.848056e-02
clip_1,24,7,7,0.469145,32.944234,3.817121e-02
clip_1,24,8,7,0.081767,3.948390,6.397456e-02
clip_1,24,9,7,0.176406,8.411105,5.554979e-02
clip_1,25,0,7,0.051151,1.935236,6.377494e-02
clip_1,25,1,7,0.042695,1.125685,7.258806e-02
clip_1,25,2,7,0.182053,12.865424,5.717223e-02
clip_1,25,6,7,0.556172,30.924160,5.801415e-02
clip_1,25,7,7,0.517257,37.538147,3.798830e-02
clip_1,25,8,7,0.079082,3.032400,6.356853e-02
clip_1,25,9,7,0.159401,6.531260,5.503235e-02
clip_1,26,0,6,0.066839,1.896466,6.656600e-02
clip_1,26,1,6,0.088882,4.691788,7.287923e-02
clip_1,26,6,6,1.147894,69.405373,4.156845e-02
clip_1,26,7,6,1.280809,104.576619,1.708534e-02
clip_1,26,8,6,0.116055,7.235385,5.560424e-02
clip_1,26,9,6,0.242525,8.088057,1.745800e-02
clip_1,27,0,6,0.094437,2.051122,6.594821e-02
clip_1,27,1,6,0.102166,4.457675,7.232276e-02
clip_1,27,6,6,1.241593,74.684796,4.117466e-02
clip_1,27,7,6,1.553325,129.791019,1.712293e-02
clip_1,27,8,6,0.115953,7.095219,5.518062e-02
clip_1,27,9,6,0.232288,6.469418,1.740407e-02
clip_1,28,0,6,0.115794,2.325891,6.599957e-02
clip_1,28,1,6,0.101929,3.606874,7.243022e-02
clip_1,28,6,6,1.340227,82.537557,4.101708e-02
clip_1,28,7,6,1.636256,138.607620,1.711397e-02
clip_1,28,8,6,0.116684,6.164322,5.540603e-02
clip_1,28,9,6,0.211437,5.690255,1.725445e-02
clip_1,29,0,6,0.215718,3.190146,6.564585e-02
clip_1,29,1,6,0.149225,2.627360,7.208309e-02
clip_1,29,6,6,1.805643,112.201948,4.025113e-02
clip_1,29,7,6,2.333130,223.639307,1.674991e-02
clip_1,29,8,6,0.144634,4.343137,5.552688e-02
clip_1,29,9,6,0.299675,22.102371,1.668140e-02
clip_1,30,0,5,0.977785,20.568600,7.471581e-02
clip_1,30,6,5,1.506864,104.487364,4.264549e-02
clip_1,30,7,5,30.619726,240.396038,6.205990e-03
clip_1,30,8,5,0.204847,4.225489,7.168022e-02
clip_1,30,9,5,0.899991,55.779180,1.128897e-02
clip_1,31,0,5,0.676460,10.457052,7.610040e-02
clip_1,31,6,5,1.022762,85.122485,4.387229e-02
clip_1,31,7,5,114.220479,286.700057,6.293773e-03
clip_1,31,8,5,0.189793,6.499250,7.467237e-02
clip_1,31,9,5,1.152838,62.635994,1.121527e-02
clip_1,58,6,5,1.066655,76.841039,4.431145e-02
clip_1,58,7,5,4.759729,120.510538,6.664240e-03
clip_1,58,15,5,0.691457,17.555237,7.699129e-02
clip_1,58,16,5,0.129250,2.926772,7.291066e-02
clip_1,58,17,5,0.354955,27.410869,1.252744e-02
clip_1,59,6,6,1.343970,80.931117,4.125817e-02
clip_1,59,7,6,2.667348,282.924993,1.586329e-02
clip_1,59,14,6,0.145588,2.655107,7.229190e-02
clip_1,59,15,6,0.182795,6.443595,6.659436e-02
clip_1,59,16,6,0.136002,9.840525,5.514926e-02
clip_1,59,17,6,0.200991,7.549528,1.721759e-02
clip_1,60,6,6,1.394722,73.118719,4.105617e-02
clip_1,60,7,6,2.543153,271.658619,1.697587e-02
clip_1,60,14,6,0.164087,6.734155,7.132350e-02
clip_1,60,15,6,0.109697,3.022327,6.519968e-02
clip_1,60,16,6,0.202858,15.138709,5.376977e-02
clip_1,60,17,6,0.401591,22.336672,1.834840e-02
clip_1,61,6,6,0.340942,13.409068,4.207609e-02
clip_1,61,7,6,0.838803,55.739123,1.710068e-02
clip_1,61,14,6,0.080722,5.184266,7.417364e-02
clip_1,61,15,6,0.008330,0.532368,6.795676e-02
clip_1,61,16,6,0.090576,6.502539,5.649820e-02
clip_1,61,17,6,0.261647,19.750364,1.778851e-02
clip_1,62,6,6,0.398575,14.201808,4.227379e-02
clip_1,62,7,6,0.662844,45.620472,1.712078e-02
clip_1,62,14,6,0.103440,6.863402,7.400684e-02
clip_1,62,15,6,0.042944,0.978638,6.786573e-02
clip_1,62,16,6,0.121526,8.603544,5.614421e-02
clip_1,62,17,6,0.358115,28.171519,1.803969e-02
clip_1,63,6,6,0.412666,14.606231,4.194936e-02
clip_1,63,7,6,0.495993,35.484297,1.697312e-02
clip_1,63,14,6,0.115543,7.554938,7.324986e-02
clip_1,63,15,6,0.061726,1.495586,6.716817e-02
clip_1,63,16,6,0.126839,9.014121,5.552555e-02
clip_1,63,17,6,0.387704,30.919104,1.789842e-02
clip_1,64,6,6,0.515675,20.447030,4.133283e-02
clip_1,64,7,6,0.334800,24.361348,1.667163e-02
clip_1,64,14,6,0.125925,7.930268,7.206467e-02
clip_1,64,15,6,0.080116,2.020130,6.610231e-02
clip_1,64,16,6,0.130169,9.486597,5.459793e-02
clip_1,64,17,6,0.403302,30.903860,1.755843e-02
clip_1,65,6,6,0.612127,28.999065,4.095724e-02
clip_1,65,7,6,0.355697,13.533795,1.652915e-02
clip_1,65,14,6,0.130520,7.913192,7.151632e-02
clip_1,65,15,6,0.088871,2.712661,6.557082e-02
clip_1,65,16,6,0.122912,8.996914,5.427846e-02
clip_1,65,17,6,0.388458,28.064837,1.725925e-02
clip_1,66,6,7,0.943230,49.418763,5.560441e-02
clip_1,66,7,7,0.664477,52.273068,3.550376e-02
clip_1,66,13,7,0.305101,20.623743,5.329559e-02
clip_1,66,14,7,0.140257,2.744869,6.871330e-02
clip_1,66,15,7,0.137218,3.107073,6.147748e-02
clip_1,66,16,7,0.115973,5.736009,6.040938e-02
