epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,924.718,0.38163,1.19092,0.17807,0.28585,1.00555,0.99998,0.99545,0.995,0.86053,0.97248,0.96818,0.95773,0.61028,0.61076,1.56339,0.18075,0.37915,0.92357,0.00189308,0.00189308,0.00189308
29,957.91,0.39625,1.07811,0.17178,0.28282,1.01103,0.99967,1,0.995,0.82857,0.99059,0.99091,0.98682,0.64932,0.64592,1.43662,0.19131,0.40414,0.92763,0.00188912,0.00188912,0.00188912
30,991.668,0.40306,1.07701,0.17389,0.28743,1.00045,0.99865,1,0.995,0.85728,0.98503,0.98636,0.97587,0.60508,0.60455,1.49917,0.19933,0.37416,0.91509,0.00188516,0.00188516,0.00188516
31,1023.37,0.39201,1.21458,0.17063,0.28362,1.00251,0.99959,1,0.995,0.85992,0.99051,0.99091,0.98864,0.64239,0.62344,1.43501,0.15201,0.35932,0.94059,0.0018812,0.0018812,0.0018812
32,1056.99,0.39072,1.08749,0.16026,0.28428,0.99393,0.99967,1,0.995,0.87318,0.98149,0.98182,0.96866,0.65309,0.55701,1.16663,0.17231,0.36152,0.86034,0.00187724,0.00187724,0.00187724
33,1090.55,0.38518,1.0329,0.15993,0.28746,0.9951,0.99935,1,0.995,0.83808,0.98572,0.98636,0.97661,0.6172,0.59231,1.28381,0.20108,0.37271,0.89485,0.00187328,0.00187328,0.00187328
34,1122.24,0.38619,0.96552,0.15826,0.28112,0.99751,0.99824,1,0.995,0.87226,0.98462,0.98636,0.97311,0.71242,0.54468,1.13945,0.17088,0.34345,0.84658,0.00186932,0.00186932,0.00186932
35,1155.61,0.37911,0.88455,0.1525,0.27896,0.98581,0.9995,1,0.995,0.86391,0.9904,0.99091,0.98664,0.68197,0.55551,1.11285,0.1659,0.35391,0.8611,0.00186536,0.00186536,0.00186536
36,1187.95,0.37479,0.93651,0.14662,0.28342,0.99256,0.99941,1,0.995,0.85685,0.98124,0.98182,0.97591,0.71825,0.61028,1.06754,0.16829,0.3747,0.89685,0.0018614,0.0018614,0.0018614
37,1219.92,0.37998,0.87578,0.14252,0.27923,0.97504,1,0.99975,0.995,0.89168,0.98181,0.98156,0.97398,0.77934,0.52458,0.89595,0.15122,0.3552,0.83609,0.00185744,0.00185744,0.00185744
38,1253.73,0.37921,0.78423,0.14001,0.27301,0.98548,0.99967,1,0.995,0.81758,0.99058,0.99091,0.99176,0.76552,0.70887,0.98196,0.1642,0.42572,1.00083,0.00185348,0.00185348,0.00185348
39,1285.67,0.36864,0.76129,0.13571,0.26961,0.9819,0.99961,1,0.995,0.87769,0.99053,0.99091,0.99059,0.78348,0.55752,0.8123,0.16445,0.34459,0.84742,0.00184952,0.00184952,0.00184952
40,1318.09,0.34943,0.76074,0.13929,0.25546,0.97987,0.99967,1,0.995,0.87216,0.99058,0.99091,0.98918,0.76144,0.57324,0.89056,0.17244,0.3505,0.90726,0.00184556,0.00184556,0.00184556
41,1350.04,0.35615,0.68913,0.13531,0.26476,0.98176,0.99953,1,0.995,0.86059,0.99045,0.99091,0.99166,0.74742,0.5726,0.89163,0.15886,0.33919,0.87882,0.0018416,0.0018416,0.0018416
42,1382.31,0.35429,0.66485,0.12945,0.25391,0.96977,0.99972,1,0.995,0.88221,0.99972,1,0.995,0.8382,0.53211,0.64237,0.14615,0.32344,0.81555,0.00183764,0.00183764,0.00183764
43,1415.82,0.34857,0.80372,0.13496,0.25017,0.95447,0.99959,1,0.995,0.84779,0.99505,0.99545,0.99205,0.80421,0.61561,0.77029,0.17355,0.35776,0.89476,0.00183368,0.00183368,0.00183368
44,1447.91,0.3526,0.68502,0.12959,0.25441,0.97766,0.99763,1,0.995,0.89321,0.99763,1,0.995,0.78333,0.49515,0.74609,0.14907,0.32232,0.78064,0.00182972,0.00182972,0.00182972
45,1479.87,0.35606,0.86193,0.13321,0.25652,0.98287,0.99968,1,0.995,0.8838,0.99514,0.99545,0.99473,0.78426,0.50486,0.7283,0.1552,0.33951,0.82331,0.00182576,0.00182576,0.00182576
46,1511.97,0.34231,0.78429,0.12905,0.24804,0.96161,0.9996,1,0.995,0.85428,0.9996,1,0.995,0.82177,0.60358,0.70583,0.14431,0.36484,0.8887,0.0018218,0.0018218,0.0018218
47,1543.94,0.34764,0.80038,0.13481,0.25686,0.96173,0.99958,1,0.995,0.8878,0.99049,0.99091,0.99248,0.77981,0.53848,0.81574,0.14808,0.34518,0.86271,0.00181784,0.00181784,0.00181784
48,1576.18,0.3447,0.75556,0.12908,0.25043,0.96179,0.99969,1,0.995,0.88052,0.99515,0.99545,0.99327,0.80203,0.49582,0.70554,0.15409,0.30925,0.79834,0.00181388,0.00181388,0.00181388
49,1608.02,0.34735,0.66377,0.12952,0.257,0.96678,0.9952,1,0.9945,0.90095,0.99067,0.99545,0.99247,0.79494,0.48839,0.79342,0.15508,0.31678,0.78821,0.00180992,0.00180992,0.00180992
50,1640.05,0.34295,0.64673,0.12354,0.25363,0.96387,0.99969,1,0.995,0.87205,0.99969,1,0.995,0.85867,0.56553,0.74065,0.14493,0.34587,0.84471,0.00180596,0.00180596,0.00180596
51,1673.38,0.33831,0.62895,0.12499,0.24466,0.96446,0.99973,1,0.995,0.88908,0.99973,1,0.995,0.79868,0.49218,0.71942,0.15176,0.32876,0.80348,0.001802,0.001802,0.001802
52,1705.52,0.33626,0.59478,0.12047,0.24629,0.95925,0.99973,1,0.995,0.88791,0.99973,1,0.995,0.82354,0.50651,0.59984,0.14191,0.3246,0.81999,0.00179804,0.00179804,0.00179804
53,1737.03,0.33124,0.61257,0.11973,0.2387,0.96057,0.99974,1,0.995,0.87725,0.99065,0.99091,0.98775,0.83718,0.52448,0.58022,0.14107,0.32276,0.82513,0.00179408,0.00179408,0.00179408
54,1768.92,0.32373,0.64388,0.11892,0.23325,0.9547,0.99883,1,0.995,0.8597,0.99429,0.99545,0.99259,0.8206,0.54354,0.75111,0.1444,0.34689,0.84205,0.00179012,0.00179012,0.00179012
55,1799.71,0.33,0.64881,0.12375,0.24092,0.96805,0.99059,1,0.995,0.83579,0.98092,0.98182,0.97949,0.81008,0.65054,0.79983,0.14423,0.36887,0.94331,0.00178616,0.00178616,0.00178616
56,1832.07,0.3327,0.62597,0.12058,0.24614,0.95479,0.9997,1,0.995,0.78839,0.99061,0.99091,0.99096,0.84243,0.76707,0.91041,0.15681,0.42019,1.08768,0.0017822,0.0017822,0.0017822
57,1863.83,0.33893,0.71965,0.12103,0.25129,0.96585,0.99973,1,0.995,0.89777,0.99973,1,0.995,0.83162,0.50014,0.60799,0.13004,0.30396,0.79086,0.00177824,0.00177824,0.00177824
58,1895.91,0.33112,0.59648,0.11875,0.24016,0.95459,0.99868,1,0.995,0.85654,0.97142,0.97273,0.96761,0.78469,0.58805,0.85504,0.15152,0.35258,0.87054,0.00177428,0.00177428,0.00177428
59,1927.93,0.3374,0.57901,0.11458,0.24364,0.96429,0.9997,1,0.995,0.8942,0.99062,0.99091,0.987,0.79207,0.47105,0.6768,0.1504,0.3097,0.78893,0.00177032,0.00177032,0.00177032
60,1960.07,0.32617,0.5436,0.11111,0.2372,0.96151,0.99975,1,0.995,0.90001,0.99066,0.99091,0.986,0.82631,0.4723,0.6225,0.13751,0.29823,0.77648,0.00176636,0.00176636,0.00176636
61,1992.03,0.31287,0.56242,0.11054,0.23036,0.9465,0.99974,1,0.995,0.89827,0.99065,0.99091,0.99108,0.8534,0.46754,0.59726,0.15351,0.30364,0.77957,0.0017624,0.0017624,0.0017624
62,2025.77,0.32283,0.6209,0.1104,0.23351,0.9511,0.99943,1,0.995,0.89393,0.99943,1,0.995,0.84208,0.51194,0.61718,0.13442,0.32605,0.81511,0.00175844,0.00175844,0.00175844
63,2058.08,0.32413,0.64895,0.10921,0.23288,0.93915,0.99432,0.98636,0.99486,0.80251,0.93087,0.92273,0.90301,0.70801,0.74132,1.1744,0.14694,0.42571,1.0011,0.00175448,0.00175448,0.00175448
64,2090.4,0.32552,0.61039,0.10645,0.23498,0.95283,0.99902,1,0.995,0.87669,0.99447,0.99545,0.9925,0.7963,0.54717,0.69816,0.14669,0.31868,0.84518,0.00175052,0.00175052,0.00175052
65,2122.43,0.33821,0.59986,0.11176,0.24412,0.9594,0.99878,1,0.995,0.8837,0.99878,1,0.995,0.84707,0.5092,0.65784,0.13841,0.30457,0.80737,0.00174656,0.00174656,0.00174656
66,2154.62,0.32699,0.58788,0.10287,0.23164,0.96459,0.99946,1,0.995,0.88265,0.99492,0.99545,0.99159,0.87397,0.54462,0.46874,0.13196,0.31902,0.84132,0.0017426,0.0017426,0.0017426
67,2188.58,0.30833,0.47417,0.10472,0.2227,0.95106,0.99973,1,0.995,0.89963,0.99519,0.99545,0.99245,0.90599,0.44517,0.48147,0.12448,0.28955,0.75652,0.00173864,0.00173864,0.00173864
68,2221.81,0.30387,0.47767,0.10332,0.22327,0.94458,0.99972,1,0.995,0.89189,0.99972,1,0.995,0.88683,0.45621,0.4939,0.12172,0.28404,0.76022,0.00173468,0.00173468,0.00173468
69,2253.98,0.30497,0.47418,0.09921,0.22687,0.94529,0.99974,1,0.995,0.90102,0.99974,1,0.995,0.89949,0.45127,0.45125,0.12903,0.27924,0.75573,0.00173072,0.00173072,0.00173072
70,2285.83,0.30321,0.47433,0.10218,0.22304,0.94642,0.99979,1,0.995,0.89466,0.99979,1,0.995,0.82598,0.4912,0.56891,0.1254,0.31258,0.78659,0.00172676,0.00172676,0.00172676
