epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,3831.04,0.24957,0.30033,0.0691,0.18674,0.92014,0.99973,1,0.995,0.91787,0.99973,1,0.995,0.93191,0.42307,0.30746,0.10254,0.27164,0.73296,0.00153668,0.00153668,0.00153668
119,3864.91,0.24332,0.35561,0.07013,0.19009,0.90389,0.99974,1,0.995,0.91057,0.99974,1,0.995,0.92151,0.424,0.35685,0.08199,0.26954,0.73795,0.00153272,0.00153272,0.00153272
120,3896.78,0.25554,0.3328,0.06949,0.19341,0.91116,0.99973,1,0.995,0.90871,0.99519,0.99545,0.99359,0.90608,0.4341,0.37317,0.11731,0.26819,0.72877,0.00152876,0.00152876,0.00152876
121,3928.93,0.25012,0.30434,0.06709,0.18525,0.90458,0.99974,1,0.995,0.92452,0.99065,0.99091,0.9913,0.87453,0.41403,0.46584,0.10675,0.24976,0.70679,0.0015248,0.0015248,0.0015248
122,3960.93,0.24941,0.32403,0.06652,0.18682,0.90844,0.99974,1,0.995,0.90445,0.99974,1,0.995,0.91326,0.42556,0.34681,0.08519,0.24558,0.72649,0.00152084,0.00152084,0.00152084
123,3993.18,0.24947,0.31513,0.06479,0.18436,0.91225,0.99974,1,0.995,0.91093,0.99974,1,0.995,0.92536,0.42512,0.30416,0.08423,0.26668,0.73985,0.00151688,0.00151688,0.00151688
124,4024.93,0.2448,0.28786,0.06341,0.18173,0.91174,0.99971,1,0.995,0.90229,0.99971,1,0.995,0.93135,0.44584,0.29999,0.08019,0.27923,0.73711,0.00151292,0.00151292,0.00151292
125,4056.77,0.2466,0.28216,0.06291,0.18489,0.90262,0.99972,1,0.995,0.90385,0.99972,1,0.995,0.92377,0.41903,0.3158,0.08749,0.26466,0.71931,0.00150896,0.00150896,0.00150896
126,4088.63,0.2465,0.29884,0.06586,0.18679,0.90545,0.99974,1,0.995,0.91294,0.99519,0.99545,0.99455,0.91875,0.39952,0.333,0.08739,0.25918,0.71163,0.001505,0.001505,0.001505
127,4120.77,0.24287,0.28156,0.06361,0.1849,0.89511,0.99973,1,0.995,0.91295,0.99973,1,0.995,0.92132,0.39812,0.32402,0.08623,0.25189,0.69715,0.00150104,0.00150104,0.00150104
128,4152.68,0.23773,0.33066,0.06479,0.17929,0.91383,0.99974,1,0.995,0.89421,0.99974,1,0.995,0.91069,0.42471,0.36478,0.08553,0.26388,0.7281,0.00149708,0.00149708,0.00149708
129,4184.9,0.24512,0.34466,0.06659,0.18909,0.90754,0.99974,1,0.995,0.92247,0.99974,1,0.995,0.93349,0.43119,0.36242,0.10521,0.28132,0.72297,0.00149312,0.00149312,0.00149312
130,4218.48,0.2438,0.31838,0.06351,0.18777,0.9054,0.99973,1,0.995,0.90776,0.99536,0.99545,0.995,0.90715,0.45612,0.39967,0.11002,0.29801,0.75328,0.00148916,0.00148916,0.00148916
131,4250.51,0.25131,0.29428,0.06749,0.18797,0.91738,0.99973,1,0.995,0.91372,0.99973,1,0.995,0.90902,0.43502,0.35559,0.09924,0.29359,0.74041,0.0014852,0.0014852,0.0014852
132,4282.43,0.23418,0.3208,0.06352,0.17974,0.89999,0.99974,1,0.995,0.90977,0.99974,1,0.995,0.90031,0.44847,0.35584,0.09678,0.27365,0.7351,0.00148124,0.00148124,0.00148124
133,4314.18,0.24439,0.30502,0.06521,0.18427,0.90738,0.99976,1,0.995,0.93043,0.99976,1,0.995,0.93132,0.39081,0.31986,0.08881,0.26186,0.69992,0.00147728,0.00147728,0.00147728
134,4347.64,0.23753,0.29086,0.06035,0.18387,0.91002,0.99974,1,0.995,0.92188,0.99974,1,0.995,0.92975,0.39478,0.31285,0.09273,0.26029,0.70516,0.00147332,0.00147332,0.00147332
135,4379.81,0.2404,0.2807,0.06204,0.18294,0.89399,0.99972,1,0.995,0.92348,0.99972,1,0.995,0.92968,0.38805,0.29506,0.09932,0.2723,0.71505,0.00146936,0.00146936,0.00146936
136,4411.63,0.23634,0.24325,0.06168,0.18104,0.89905,0.99974,1,0.995,0.91887,0.99974,1,0.995,0.94997,0.40453,0.27464,0.102,0.27765,0.7435,0.0014654,0.0014654,0.0014654
137,4445.54,0.24328,0.29153,0.06238,0.1882,0.90521,0.9997,1,0.995,0.92904,0.9997,1,0.995,0.92946,0.39635,0.31216,0.09869,0.27035,0.72104,0.00146144,0.00146144,0.00146144
138,4477.44,0.24085,0.306,0.06168,0.19132,0.89994,0.99974,1,0.995,0.91647,0.99974,1,0.995,0.92099,0.45254,0.35754,0.10089,0.30014,0.75419,0.00145748,0.00145748,0.00145748
139,4509.7,0.22831,0.28028,0.05921,0.1829,0.90588,0.99973,1,0.995,0.91247,0.99973,1,0.995,0.9298,0.42585,0.30453,0.0862,0.26945,0.73178,0.00145352,0.00145352,0.00145352
140,4541.68,0.22919,0.27105,0.06082,0.1807,0.90072,0.99974,1,0.995,0.92021,0.99974,1,0.995,0.93238,0.40132,0.30532,0.10275,0.26563,0.718,0.00144956,0.00144956,0.00144956
141,4574.04,0.23314,0.30257,0.05994,0.17742,0.90369,0.99974,1,0.995,0.91419,0.99974,1,0.995,0.93776,0.40831,0.28969,0.08287,0.2604,0.71194,0.0014456,0.0014456,0.0014456
142,4605.92,0.22904,0.26799,0.05697,0.17689,0.90516,1,1,0.995,0.91348,1,1,0.995,0.93505,0.39547,0.29845,0.09287,0.26241,0.70849,0.00144164,0.00144164,0.00144164
143,4638.08,0.22283,0.3009,0.06025,0.17204,0.89413,0.99975,1,0.995,0.91238,0.99975,1,0.995,0.95098,0.40585,0.31056,0.0818,0.26463,0.71321,0.00143768,0.00143768,0.00143768
144,4670.07,0.2202,0.24896,0.05917,0.17044,0.89548,0.99975,1,0.995,0.90646,0.99975,1,0.995,0.93557,0.39696,0.3266,0.0898,0.25918,0.72162,0.00143372,0.00143372,0.00143372
145,4702.49,0.23087,0.25028,0.05758,0.17361,0.89782,0.99972,1,0.995,0.91821,0.99972,1,0.995,0.92738,0.42016,0.28414,0.08375,0.2875,0.73827,0.00142976,0.00142976,0.00142976
146,4734.62,0.24119,0.24418,0.05721,0.18374,0.90483,0.99973,1,0.995,0.9314,0.99973,1,0.995,0.90522,0.39935,0.37426,0.09093,0.26595,0.70218,0.0014258,0.0014258,0.0014258
147,4766.93,0.2327,0.27588,0.05836,0.17729,0.90195,0.99974,1,0.995,0.91217,0.99974,1,0.995,0.93008,0.41099,0.35122,0.0974,0.28102,0.72657,0.00142184,0.00142184,0.00142184
148,4798.92,0.23089,0.26487,0.05687,0.17468,0.90248,1,1,0.995,0.91178,1,1,0.995,0.93879,0.41532,0.30975,0.08507,0.29129,0.72479,0.00141788,0.00141788,0.00141788
149,4831.21,0.22759,0.24711,0.05898,0.17656,0.90281,1,1,0.995,0.91986,1,1,0.995,0.95752,0.39719,0.28844,0.09048,0.25809,0.69761,0.00141392,0.00141392,0.00141392
150,4865.04,0.22666,0.25201,0.05719,0.17268,0.89056,0.99976,1,0.995,0.91697,0.99522,0.99545,0.99091,0.93128,0.39575,0.27996,0.08885,0.25267,0.70873,0.00140996,0.00140996,0.00140996
151,4896.84,0.21275,0.25205,0.05734,0.16921,0.87863,0.99974,1,0.995,0.93577,0.99974,1,0.995,0.94069,0.36775,0.3076,0.07818,0.25105,0.69224,0.001406,0.001406,0.001406
152,4928.85,0.22316,0.2378,0.05804,0.17429,0.89926,0.99974,1,0.995,0.91979,0.99974,1,0.995,0.90617,0.38132,0.37975,0.09452,0.25912,0.70858,0.00140204,0.00140204,0.00140204
153,4960.88,0.21587,0.22349,0.05534,0.16921,0.89238,0.99974,1,0.995,0.9284,0.99974,1,0.995,0.93905,0.40248,0.3023,0.09812,0.26562,0.724,0.00139808,0.00139808,0.00139808
154,4992.91,0.21503,0.23057,0.05653,0.16876,0.89494,0.99972,1,0.995,0.92091,0.99972,1,0.995,0.94129,0.40268,0.2917,0.10006,0.26091,0.72095,0.00139412,0.00139412,0.00139412
155,5024.74,0.21483,0.23523,0.05587,0.1736,0.88176,0.99973,1,0.995,0.93583,0.99973,1,0.995,0.92344,0.37446,0.32796,0.1106,0.2526,0.69421,0.00139016,0.00139016,0.00139016
156,5056.84,0.21896,0.25542,0.05657,0.17152,0.88325,0.99975,1,0.995,0.92898,0.99975,1,0.995,0.93183,0.36457,0.28624,0.08801,0.24061,0.67504,0.0013862,0.0013862,0.0013862
157,5088.61,0.22272,0.24753,0.05767,0.17121,0.89309,0.99973,1,0.995,0.91422,0.99973,1,0.995,0.9469,0.39651,0.26088,0.08881,0.25459,0.70741,0.00138224,0.00138224,0.00138224
158,5120.62,0.2167,0.2462,0.0547,0.1691,0.89889,0.9997,1,0.995,0.91948,0.9997,1,0.995,0.9344,0.39691,0.29407,0.0854,0.25087,0.71906,0.00137828,0.00137828,0.00137828
159,5152.67,0.22173,0.24695,0.05705,0.17016,0.89834,0.99975,1,0.995,0.91874,0.99975,1,0.995,0.93845,0.40929,0.28443,0.09742,0.24952,0.72681,0.00137432,0.00137432,0.00137432
160,5184.63,0.20762,0.22382,0.05418,0.16787,0.88144,1,1,0.995,0.92954,0.99545,0.99545,0.99482,0.93634,0.38204,0.30477,0.09574,0.23995,0.70177,0.00137036,0.00137036,0.00137036
161,5216.43,0.21365,0.25322,0.05628,0.16628,0.89823,0.99975,1,0.995,0.92732,0.99975,1,0.995,0.94877,0.39372,0.25969,0.08812,0.25276,0.71263,0.0013664,0.0013664,0.0013664
162,5248.51,0.21019,0.27867,0.05448,0.16701,0.89076,0.99973,1,0.995,0.92448,0.99973,1,0.995,0.9306,0.37153,0.29951,0.08105,0.2539,0.69085,0.00136244,0.00136244,0.00136244
163,5280.33,0.21796,0.27743,0.06238,0.16683,0.8919,0.99974,1,0.995,0.91574,0.99974,1,0.995,0.92066,0.40895,0.30573,0.09158,0.26444,0.72662,0.00135848,0.00135848,0.00135848
164,5312.2,0.21299,0.21828,0.05349,0.16507,0.88577,0.99973,1,0.995,0.93295,0.99973,1,0.995,0.94891,0.36977,0.26676,0.08848,0.23668,0.6857,0.00135452,0.00135452,0.00135452
165,5345.72,0.20924,0.26447,0.05463,0.16834,0.88466,0.9997,1,0.995,0.92782,0.9997,1,0.995,0.95105,0.37811,0.26991,0.08293,0.24825,0.69397,0.00135056,0.00135056,0.00135056
166,5378.01,0.2124,0.22205,0.05485,0.16385,0.888,0.99974,1,0.995,0.93138,0.99974,1,0.995,0.94387,0.35535,0.27125,0.09456,0.25414,0.69389,0.0013466,0.0013466,0.0013466
167,5409.82,0.21033,0.22059,0.05041,0.16287,0.88718,0.99974,1,0.995,0.92339,0.99974,1,0.995,0.92398,0.39761,0.29306,0.10033,0.25619,0.70127,0.00134264,0.00134264,0.00134264
168,5441.93,0.20532,0.24484,0.05084,0.16419,0.88139,0.99974,1,0.995,0.93128,0.99974,1,0.995,0.94293,0.3883,0.27569,0.10111,0.24512,0.70801,0.00133868,0.00133868,0.00133868
169,5473.73,0.21411,0.25232,0.05511,0.16909,0.89416,0.99974,1,0.995,0.92829,0.99974,1,0.995,0.93143,0.37321,0.28793,0.09063,0.24468,0.69414,0.00133472,0.00133472,0.00133472
170,5506.12,0.21052,0.26213,0.05433,0.16565,0.89125,0.99973,1,0.995,0.93477,0.99973,1,0.995,0.9498,0.3589,0.25203,0.08326,0.23753,0.68176,0.00133076,0.00133076,0.00133076
171,5539.79,0.21017,0.24234,0.05685,0.16605,0.87633,0.99974,1,0.995,0.92616,0.99974,1,0.995,0.93831,0.38598,0.28586,0.10338,0.23551,0.70823,0.0013268,0.0013268,0.0013268
172,5571.83,0.20728,0.23702,0.0531,0.16057,0.88493,0.99975,1,0.995,0.93049,0.99975,1,0.995,0.93497,0.38095,0.28545,0.07662,0.23782,0.70512,0.00132284,0.00132284,0.00132284
173,5603.88,0.20973,0.28067,0.05755,0.16167,0.89677,0.99975,1,0.995,0.922,0.99975,1,0.995,0.92367,0.38558,0.32737,0.09329,0.24501,0.71646,0.00131888,0.00131888,0.00131888
174,5635.94,0.20949,0.24666,0.05403,0.16291,0.88748,0.99974,1,0.995,0.91981,0.99974,1,0.995,0.933,0.40245,0.29757,0.09454,0.25216,0.72149,0.00131492,0.00131492,0.00131492
175,5667.78,0.20943,0.23835,0.05112,0.16064,0.89399,0.99974,1,0.995,0.92629,0.99974,1,0.995,0.91996,0.39433,0.2959,0.08153,0.2572,0.71086,0.00131096,0.00131096,0.00131096
176,5699.71,0.20612,0.22513,0.05241,0.16001,0.89022,0.99974,1,0.995,0.93366,0.99974,1,0.995,0.93281,0.37019,0.29155,0.07599,0.25672,0.68799,0.001307,0.001307,0.001307
177,5731.64,0.21369,0.25757,0.05383,0.16362,0.88924,0.99975,1,0.995,0.90543,0.99975,1,0.995,0.89974,0.41407,0.33184,0.08664,0.27499,0.72097,0.00130304,0.00130304,0.00130304
178,5763.72,0.21047,0.24254,0.05295,0.16162,0.89047,0.99976,1,0.995,0.93374,0.99976,1,0.995,0.95631,0.37433,0.24065,0.0736,0.24704,0.68145,0.00129908,0.00129908,0.00129908
179,5797.3,0.2081,0.25068,0.05256,0.16288,0.8915,0.99975,1,0.995,0.92738,0.99975,1,0.995,0.93124,0.38275,0.29522,0.07229,0.26365,0.70632,0.00129512,0.00129512,0.00129512
180,5829.58,0.21343,0.26746,0.04963,0.16245,0.89547,0.99974,1,0.995,0.93027,0.99974,1,0.995,0.94488,0.37676,0.28529,0.08376,0.23568,0.71258,0.00129116,0.00129116,0.00129116
181,5861.71,0.19759,0.2242,0.05002,0.15729,0.88714,0.99975,1,0.995,0.92429,0.99975,1,0.995,0.95011,0.37197,0.2462,0.0732,0.24228,0.70129,0.0012872,0.0012872,0.0012872
182,5893.74,0.19867,0.20278,0.04928,0.15425,0.8861,0.99974,1,0.995,0.93164,0.99974,1,0.995,0.93848,0.36516,0.2611,0.07488,0.2427,0.68475,0.00128324,0.00128324,0.00128324
183,5925.62,0.19979,0.219,0.05021,0.15539,0.88902,0.99976,1,0.995,0.92336,0.99976,1,0.995,0.95675,0.37626,0.24756,0.07652,0.24042,0.70618,0.00127928,0.00127928,0.00127928
184,5957.74,0.2165,0.2204,0.04982,0.16506,0.8891,0.99975,1,0.995,0.93805,0.99975,1,0.995,0.94974,0.38822,0.25852,0.08399,0.2659,0.7154,0.00127532,0.00127532,0.00127532
185,5989.78,0.21127,0.22652,0.054,0.16668,0.88119,0.99974,1,0.995,0.94543,0.99974,1,0.995,0.93895,0.37203,0.26444,0.08627,0.26079,0.70257,0.00127136,0.00127136,0.00127136
186,6021.87,0.20595,0.23232,0.05265,0.16158,0.88097,0.99973,1,0.995,0.93493,0.99973,1,0.995,0.96116,0.39395,0.26773,0.08264,0.25715,0.71708,0.0012674,0.0012674,0.0012674
187,6055.57,0.2086,0.22615,0.05064,0.16249,0.88695,0.99974,1,0.995,0.93495,0.99974,1,0.995,0.95482,0.3632,0.26823,0.08523,0.23902,0.68682,0.00126344,0.00126344,0.00126344
188,6087.53,0.20979,0.21763,0.05108,0.16393,0.88003,1,1,0.995,0.93327,1,1,0.995,0.93022,0.35772,0.25655,0.08959,0.2451,0.68598,0.00125948,0.00125948,0.00125948
189,6119.53,0.20391,0.22278,0.05081,0.15982,0.88068,0.99975,1,0.995,0.93454,0.99975,1,0.995,0.95633,0.36208,0.25562,0.08505,0.24233,0.68235,0.00125552,0.00125552,0.00125552
190,6151.61,0.19333,0.21857,0.05052,0.15457,0.88594,0.99974,1,0.995,0.92134,0.99974,1,0.995,0.95141,0.39253,0.27031,0.08509,0.2716,0.71933,0.00125156,0.00125156,0.00125156
191,6183.69,0.20088,0.18131,0.04801,0.16011,0.87954,1,1,0.995,0.924,1,1,0.995,0.94646,0.38225,0.24544,0.08357,0.25953,0.71562,0.0012476,0.0012476,0.0012476
192,6215.71,0.21073,0.20557,0.05078,0.16599,0.89415,0.99974,1,0.995,0.92948,0.99974,1,0.995,0.9482,0.36994,0.24422,0.0742,0.24258,0.6863,0.00124364,0.00124364,0.00124364
193,6247.81,0.20271,0.20272,0.05139,0.15806,0.88018,0.99973,1,0.995,0.92595,0.99973,1,0.995,0.93786,0.37134,0.27361,0.08107,0.23587,0.68882,0.00123968,0.00123968,0.00123968
194,6279.84,0.20249,0.2106,0.04995,0.15973,0.88517,0.99974,1,0.995,0.92293,0.99974,1,0.995,0.94163,0.37876,0.23449,0.07251,0.27157,0.69761,0.00123572,0.00123572,0.00123572
195,6311.82,0.1988,0.2022,0.04774,0.15668,0.8829,0.99974,1,0.995,0.92456,0.99974,1,0.995,0.93841,0.38843,0.25316,0.07961,0.2555,0.71111,0.00123176,0.00123176,0.00123176
196,6343.92,0.19639,0.20268,0.04891,0.15511,0.88314,0.99975,1,0.995,0.92621,0.99975,1,0.995,0.92907,0.35667,0.26096,0.09351,0.23614,0.68224,0.0012278,0.0012278,0.0012278
197,6376.11,0.19853,0.18679,0.0495,0.15704,0.87899,0.99974,1,0.995,0.93916,0.99974,1,0.995,0.97512,0.36105,0.20348,0.08213,0.2508,0.69362,0.00122384,0.00122384,0.00122384
198,6409.42,0.18901,0.18619,0.04734,0.15067,0.87337,0.99975,1,0.995,0.92612,0.99975,1,0.995,0.95086,0.37871,0.22811,0.08565,0.24697,0.72328,0.00121988,0.00121988,0.00121988
199,6441.6,0.19585,0.20233,0.04849,0.15295,0.87768,0.99974,1,0.995,0.93918,0.99974,1,0.995,0.97122,0.36141,0.21827,0.08047,0.23048,0.68104,0.00121592,0.00121592,0.00121592
200,6473.57,0.18821,0.20284,0.04568,0.15155,0.88243,0.99974,1,0.995,0.93603,0.99974,1,0.995,0.96558,0.36716,0.22945,0.08723,0.2354,0.70349,0.00121196,0.00121196,0.00121196
201,6505.9,0.19131,0.22161,0.04834,0.15379,0.87604,0.99975,1,0.995,0.93094,0.99975,1,0.995,0.95491,0.35861,0.22647,0.08499,0.23537,0.6755,0.001208,0.001208,0.001208
202,6537.74,0.19991,0.23023,0.04867,0.15491,0.88685,0.99974,1,0.995,0.91903,0.99974,1,0.995,0.95924,0.38833,0.21529,0.0627,0.23175,0.69578,0.00120404,0.00120404,0.00120404
203,6569.35,0.19769,0.21893,0.04711,0.15218,0.88413,0.99972,1,0.995,0.92421,0.99972,1,0.995,0.97111,0.34458,0.21246,0.06762,0.22623,0.67863,0.00120008,0.00120008,0.00120008
204,6601.53,0.19238,0.19634,0.0473,0.14763,0.88356,0.99973,1,0.995,0.92498,0.99973,1,0.995,0.96696,0.37676,0.2251,0.07431,0.243,0.7058,0.00119612,0.00119612,0.00119612
205,6634.27,0.18997,0.17606,0.04721,0.14841,0.87657,0.99974,1,0.995,0.93396,0.99974,1,0.995,0.95667,0.34785,0.19729,0.06835,0.22748,0.67912,0.00119216,0.00119216,0.00119216
206,6666.61,0.18414,0.20481,0.04964,0.14695,0.87074,0.99976,1,0.995,0.9197,0.99976,1,0.995,0.95807,0.36086,0.2173,0.08348,0.24931,0.69443,0.0011882,0.0011882,0.0011882
207,6698.91,0.17947,0.19525,0.04418,0.14577,0.87085,0.99959,1,0.995,0.94496,0.99959,1,0.995,0.9463,0.33271,0.23103,0.08171,0.24064,0.67478,0.00118424,0.00118424,0.00118424
208,6730.93,0.18745,0.20298,0.04609,0.15079,0.87829,0.99975,1,0.995,0.93282,0.99975,1,0.995,0.94437,0.34012,0.24879,0.08179,0.23394,0.68111,0.00118028,0.00118028,0.00118028
209,6763.34,0.18009,0.19258,0.04567,0.14493,0.87772,0.99974,1,0.995,0.93705,0.99974,1,0.995,0.94629,0.35391,0.2325,0.08301,0.24186,0.69715,0.00117632,0.00117632,0.00117632
210,6795.29,0.18849,0.19717,0.04575,0.14715,0.88142,0.99973,1,0.995,0.93114,0.99973,1,0.995,0.95784,0.37228,0.24661,0.08005,0.24414,0.7123,0.00117236,0.00117236,0.00117236
211,6827.44,0.18154,0.19018,0.04465,0.1445,0.86386,0.99974,1,0.995,0.93823,0.99974,1,0.995,0.96205,0.34738,0.22448,0.06511,0.23978,0.67603,0.0011684,0.0011684,0.0011684
212,6859.44,0.17909,0.19691,0.04454,0.14387,0.8774,0.99974,1,0.995,0.93494,0.99974,1,0.995,0.95615,0.34659,0.22788,0.06945,0.23434,0.67891,0.00116444,0.00116444,0.00116444
213,6890.91,0.18753,0.18341,0.04618,0.14832,0.87624,0.99973,1,0.995,0.93733,0.99973,1,0.995,0.96081,0.35654,0.21758,0.06917,0.24086,0.6843,0.00116048,0.00116048,0.00116048
214,6922.91,0.19048,0.1741,0.04339,0.15171,0.87747,1,1,0.995,0.92998,1,1,0.995,0.95144,0.36634,0.24007,0.09311,0.2401,0.69271,0.00115652,0.00115652,0.00115652
215,6955.17,0.18995,0.18859,0.04621,0.1518,0.87,0.99975,1,0.995,0.93286,0.99975,1,0.995,0.96529,0.37128,0.21017,0.08783,0.2416,0.71015,0.00115256,0.00115256,0.00115256
216,6987.18,0.18426,0.16553,0.04541,0.14775,0.87476,0.99975,1,0.995,0.93848,0.99975,1,0.995,0.95391,0.34646,0.24265,0.08226,0.23507,0.67843,0.0011486,0.0011486,0.0011486
217,7019.41,0.18168,0.18544,0.04582,0.14727,0.87635,0.99975,1,0.995,0.9347,0.99975,1,0.995,0.96172,0.35853,0.22383,0.07492,0.2364,0.68907,0.00114464,0.00114464,0.00114464
218,7051.41,0.17549,0.18851,0.04446,0.14439,0.87788,0.99975,1,0.995,0.94079,0.99975,1,0.995,0.96492,0.34351,0.21543,0.07427,0.2401,0.67423,0.00114068,0.00114068,0.00114068
219,7083.52,0.18282,0.19039,0.04504,0.14618,0.87764,0.99975,1,0.995,0.93033,0.99975,1,0.995,0.95623,0.35159,0.21574,0.07097,0.23774,0.68727,0.00113672,0.00113672,0.00113672
220,7115.63,0.18254,0.21495,0.04247,0.14871,0.87964,0.99975,1,0.995,0.92302,0.99975,1,0.995,0.95903,0.35481,0.19633,0.08524,0.24249,0.68732,0.00113276,0.00113276,0.00113276
221,7147.71,0.18694,0.21425,0.04487,0.14547,0.88148,1,1,0.995,0.93403,1,1,0.995,0.94511,0.33451,0.24687,0.07767,0.24003,0.66352,0.0011288,0.0011288,0.0011288
222,7179.64,0.177,0.193,0.04865,0.14014,0.8687,0.99975,1,0.995,0.93606,0.99975,1,0.995,0.94285,0.3304,0.21833,0.06435,0.2157,0.64854,0.00112484,0.00112484,0.00112484
223,7211.93,0.18797,0.19281,0.04802,0.14608,0.87179,0.99973,1,0.995,0.93349,0.99973,1,0.995,0.95956,0.34957,0.22351,0.07914,0.22868,0.67431,0.00112088,0.00112088,0.00112088
224,7243.91,0.18802,0.19988,0.04707,0.14671,0.87274,0.99964,1,0.995,0.93144,0.99964,1,0.995,0.96397,0.3491,0.2127,0.06815,0.2378,0.6781,0.00111692,0.00111692,0.00111692
225,7276.13,0.18054,0.19024,0.04584,0.14585,0.87602,0.99975,1,0.995,0.93347,0.99975,1,0.995,0.96099,0.34355,0.21577,0.06915,0.23019,0.67772,0.00111296,0.00111296,0.00111296
226,7308.1,0.18118,0.19636,0.04471,0.14514,0.87487,0.99973,1,0.995,0.94119,0.99973,1,0.995,0.9543,0.34077,0.22225,0.06582,0.22823,0.6743,0.001109,0.001109,0.001109
227,7340.32,0.18367,0.17392,0.04503,0.1432,0.87786,0.99973,1,0.995,0.92627,0.99973,1,0.995,0.94161,0.35905,0.23299,0.06919,0.22842,0.68827,0.00110504,0.00110504,0.00110504
228,7372.37,0.18688,0.19952,0.04731,0.14903,0.87346,0.99967,1,0.995,0.93566,0.99967,1,0.995,0.95374,0.3432,0.21901,0.06704,0.22419,0.67781,0.00110108,0.00110108,0.00110108
229,7403.32,0.18848,0.20301,0.04772,0.14878,0.87883,0.99975,1,0.995,0.94676,0.99975,1,0.995,0.95084,0.33031,0.23039,0.07697,0.2242,0.67352,0.00109712,0.00109712,0.00109712
230,7434.43,0.18477,0.17947,0.04478,0.14947,0.87657,0.99974,1,0.995,0.92978,0.99974,1,0.995,0.95121,0.36928,0.24259,0.08277,0.23752,0.70144,0.00109316,0.00109316,0.00109316
231,7466.64,0.17932,0.21662,0.04626,0.14615,0.87818,0.99974,1,0.995,0.9287,0.99065,0.99091,0.98845,0.93882,0.36361,0.26532,0.06606,0.2378,0.68647,0.0010892,0.0010892,0.0010892
232,7498.73,0.18965,0.1956,0.04542,0.14825,0.87804,0.99973,1,0.995,0.93294,0.99973,1,0.995,0.95295,0.36573,0.25661,0.07543,0.23218,0.69808,0.00108524,0.00108524,0.00108524
233,7531.01,0.18035,0.19746,0.04548,0.14197,0.87593,0.99975,1,0.995,0.93225,0.99975,1,0.995,0.96914,0.35495,0.22867,0.07475,0.24436,0.69106,0.00108128,0.00108128,0.00108128
234,7562.91,0.17945,0.19694,0.04429,0.14123,0.86885,0.99974,1,0.995,0.93224,0.99974,1,0.995,0.94495,0.34485,0.2711,0.07497,0.23378,0.68354,0.00107732,0.00107732,0.00107732
235,7595.11,0.18304,0.1841,0.04397,0.14239,0.87776,0.99974,1,0.995,0.93867,0.99974,1,0.995,0.9587,0.34828,0.23936,0.07685,0.21901,0.69,0.00107336,0.00107336,0.00107336
236,7627.03,0.18147,0.18121,0.04516,0.14376,0.86648,0.99975,1,0.995,0.9354,0.99975,1,0.995,0.9573,0.3463,0.22072,0.06617,0.21916,0.67385,0.0010694,0.0010694,0.0010694
237,7659.33,0.17619,0.16569,0.04403,0.13794,0.86742,0.99974,1,0.995,0.93575,0.9952,0.99545,0.99473,0.95247,0.34693,0.24603,0.06475,0.22331,0.6802,0.00106544,0.00106544,0.00106544
238,7691.34,0.17803,0.17615,0.04311,0.14052,0.86867,0.99975,1,0.995,0.9329,0.9952,0.99545,0.99355,0.93781,0.33789,0.28192,0.07109,0.23126,0.67138,0.00106148,0.00106148,0.00106148
239,7723.47,0.17718,0.18824,0.04321,0.14109,0.86831,0.99975,1,0.995,0.93041,0.99975,1,0.995,0.95461,0.34738,0.24138,0.06853,0.23898,0.68953,0.00105752,0.00105752,0.00105752
240,7755.64,0.17461,0.16199,0.04325,0.13785,0.86427,0.99974,1,0.995,0.93529,0.99974,1,0.995,0.95874,0.33617,0.22422,0.07263,0.23068,0.68173,0.00105356,0.00105356,0.00105356
241,7787.94,0.17612,0.15783,0.04155,0.1418,0.86613,0.99972,1,0.995,0.93655,0.99972,1,0.995,0.95006,0.3334,0.25354,0.07214,0.22535,0.68841,0.0010496,0.0010496,0.0010496
242,7820.14,0.17799,0.16117,0.04055,0.1418,0.87235,0.99974,1,0.995,0.93105,0.99974,1,0.995,0.95458,0.34421,0.23477,0.06976,0.2463,0.68449,0.00104564,0.00104564,0.00104564
243,7852.4,0.17203,0.15826,0.04406,0.14154,0.87886,0.99975,1,0.995,0.93409,0.99975,1,0.995,0.95676,0.34689,0.20799,0.06439,0.2266,0.68664,0.00104168,0.00104168,0.00104168
244,7884.59,0.18311,0.19739,0.04373,0.1423,0.87473,0.99973,1,0.995,0.93585,0.99973,1,0.995,0.95908,0.3583,0.2435,0.07649,0.23685,0.69668,0.00103772,0.00103772,0.00103772
245,7916.48,0.17454,0.16619,0.04176,0.13937,0.87217,0.99974,1,0.995,0.93644,0.99974,1,0.995,0.9616,0.34921,0.21993,0.07261,0.2344,0.69274,0.00103376,0.00103376,0.00103376
246,7948.74,0.17619,0.18957,0.04175,0.13997,0.87051,0.99975,1,0.995,0.93304,0.99975,1,0.995,0.95919,0.33015,0.22158,0.06063,0.21408,0.66715,0.0010298,0.0010298,0.0010298
