hold_threshold,max_ball_distance,bbox_overlap_min,clip,n,acc,recall_held,spec_nobody,false_pos,acc_real,acc_interp
1,20,0.3,clip_1,102,0.7352941176470589,0.6966292134831461,1.0,0.0,0.7323943661971831,0.7419354838709677
1,20,0.3,clip_2,167,0.6287425149700598,0.5779816513761468,0.7241379310344828,0.27586206896551724,0.7411764705882353,0.5121951219512195
1,20,0.3,clip_3,219,0.6027397260273972,0.6604938271604939,0.43859649122807015,0.5614035087719298,0.5763888888888888,0.6533333333333333
1,20,0.5,clip_1,102,0.7352941176470589,0.6966292134831461,1.0,0.0,0.7323943661971831,0.7419354838709677
1,20,0.5,clip_2,167,0.6287425149700598,0.5779816513761468,0.7241379310344828,0.27586206896551724,0.7411764705882353,0.5121951219512195
1,20,0.5,clip_3,219,0.6027397260273972,0.6604938271604939,0.43859649122807015,0.5614035087719298,0.5763888888888888,0.6533333333333333
1,20,0.7,clip_1,102,0.7352941176470589,0.6966292134831461,1.0,0.0,0.7323943661971831,0.7419354838709677
1,20,0.7,clip_2,167,0.6227544910179641,0.5688073394495413,0.7241379310344828,0.27586206896551724,0.7294117647058823,0.5121951219512195
1,20,0.7,clip_3,219,0.6118721461187214,0.6728395061728395,0.43859649122807015,0.5614035087719298,0.5902777777777778,0.6533333333333333
1,20,0.8,clip_1,102,0.7352941176470589,0.6966292134831461,1.0,0.0,0.7323943661971831,0.7419354838709677
1,20,0.8,clip_2,167,0.6287425149700598,0.5779816513761468,0.7241379310344828,0.27586206896551724,0.7411764705882353,0.5121951219512195
1,20,0.8,clip_3,219,0.6118721461187214,0.6728395061728395,0.43859649122807015,0.5614035087719298,0.5902777777777778,0.6533333333333333
1,20,0.9,clip_1,102,0.7352941176470589,0.6966292134831461,1.0,0.0,0.7323943661971831,0.7419354838709677
1,20,0.9,clip_2,167,0.6287425149700598,0.5779816513761468,0.7241379310344828,0.27586206896551724,0.7411764705882353,0.5121951219512195
1,20,0.9,clip_3,219,0.6073059360730594,0.6666666666666666,0.43859649122807015,0.5614035087719298,0.5902777777777778,0.64
1,30,0.3,clip_1,102,0.8333333333333334,0.8089887640449438,1.0,0.0,0.8732394366197183,0.7419354838709677
