hold_threshold,max_ball_distance,bbox_overlap_min,clip,n,acc,recall_held,spec_nobody,false_pos,acc_real,acc_interp
1,20,0.3,clip_1,102,0.5588235294117647,0.4943820224719101,1.0,0.0,0.5588235294117647,
1,20,0.3,clip_2,167,0.6107784431137725,0.44036697247706424,0.9310344827586207,0.06896551724137931,0.6107784431137725,
1,20,0.3,clip_3,219,0.4474885844748858,0.4074074074074074,0.5614035087719298,0.43859649122807015,0.4474885844748858,
1,20,0.5,clip_1,102,0.5588235294117647,0.4943820224719101,1.0,0.0,0.5588235294117647,
1,20,0.5,clip_2,167,0.6107784431137725,0.44036697247706424,0.9310344827586207,0.06896551724137931,0.6107784431137725,
1,20,0.5,clip_3,219,0.4474885844748858,0.4074074074074074,0.5614035087719298,0.43859649122807015,0.4474885844748858,
1,20,0.7,clip_1,102,0.5588235294117647,0.4943820224719101,1.0,0.0,0.5588235294117647,
1,20,0.7,clip_2,167,0.6047904191616766,0.43119266055045874,0.9310344827586207,0.06896551724137931,0.6047904191616766,
1,20,0.7,clip_3,219,0.45662100456621,0.41975308641975306,0.5614035087719298,0.43859649122807015,0.45662100456621,
1,20,0.8,clip_1,102,0.5588235294117647,0.4943820224719101,1.0,0.0,0.5588235294117647,
1,20,0.8,clip_2,167,0.6107784431137725,0.44036697247706424,0.9310344827586207,0.06896551724137931,0.6107784431137725,
1,20,0.8,clip_3,219,0.45662100456621,0.41975308641975306,0.5614035087719298,0.43859649122807015,0.45662100456621,
1,20,0.9,clip_1,102,0.5588235294117647,0.4943820224719101,1.0,0.0,0.5588235294117647,
1,20,0.9,clip_2,167,0.6107784431137725,0.44036697247706424,0.9310344827586207,0.06896551724137931,0.6107784431137725,
1,20,0.9,clip_3,219,0.45662100456621,0.41975308641975306,0.5614035087719298,0.43859649122807015,0.45662100456621,
1,30,0.3,clip_1,102,0.6568627450980392,0.6067415730337079,1.0,0.0,0.6568627450980392,
1,30,0.3,clip_2,167,0.6107784431137725,0.45871559633027525,0.896551724137931,0.10344827586206896,0.6107784431137725,
1,30,0.3,clip_3,219,0.4748858447488584,0.46296296296296297,0.5087719298245614,0.49122807017543857,0.4748858447488584,
1,30,0.5,clip_1,102,0.6568627450980392,0.6067415730337079,1.0,0.0,0.6568627450980392,
1,30,0.5,clip_2,167,0.6107784431137725,0.45871559633027525,0.896551724137931,0.10344827586206896,0.6107784431137725,
1,30,0.5,clip_3,219,0.4748858447488584,0.46296296296296297,0.5087719298245614,0.49122807017543857,0.4748858447488584,
1,30,0.7,clip_1,102,0.6568627450980392,0.6067415730337079,1.0,0.0,0.6568627450980392,
1,30,0.7,clip_2,167,0.6047904191616766,0.44954128440366975,0.896551724137931,0.10344827586206896,0.6047904191616766,
1,30,0.7,clip_3,219,0.4840182648401826,0.47530864197530864,0.5087719298245614,0.49122807017543857,0.4840182648401826,
1,30,0.8,clip_1,102,0.6568627450980392,0.6067415730337079,1.0,0.0,0.6568627450980392,
1,30,0.8,clip_2,167,0.6107784431137725,0.45871559633027525,0.896551724137931,0.10344827586206896,0.6107784431137725,
1,30,0.8,clip_3,219,0.4840182648401826,0.47530864197530864,0.5087719298245614,0.49122807017543857,0.4840182648401826,
1,30,0.9,clip_1,102,0.6568627450980392,0.6067415730337079,1.0,0.0,0.6568627450980392,
1,30,0.9,clip_2,167,0.6107784431137725,0.45871559633027525,0.896551724137931,0.10344827586206896,0.6107784431137725,
1,30,0.9,clip_3,219,0.4840182648401826,0.47530864197530864,0.5087719298245614,0.49122807017543857,0.4840182648401826,
1,40,0.3,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
1,40,0.3,clip_2,167,0.592814371257485,0.46788990825688076,0.8275862068965517,0.1724137931034483,0.592814371257485,
1,40,0.3,clip_3,219,0.4657534246575342,0.48148148148148145,0.42105263157894735,0.5789473684210527,0.4657534246575342,
1,40,0.5,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
1,40,0.5,clip_2,167,0.592814371257485,0.46788990825688076,0.8275862068965517,0.1724137931034483,0.592814371257485,
1,40,0.5,clip_3,219,0.4657534246575342,0.48148148148148145,0.42105263157894735,0.5789473684210527,0.4657534246575342,
1,40,0.7,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
1,40,0.7,clip_2,167,0.5868263473053892,0.45871559633027525,0.8275862068965517,0.1724137931034483,0.5868263473053892,
1,40,0.7,clip_3,219,0.4748858447488584,0.49382716049382713,0.42105263157894735,0.5789473684210527,0.4748858447488584,
1,40,0.8,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
1,40,0.8,clip_2,167,0.592814371257485,0.46788990825688076,0.8275862068965517,0.1724137931034483,0.592814371257485,
1,40,0.8,clip_3,219,0.4748858447488584,0.49382716049382713,0.42105263157894735,0.5789473684210527,0.4748858447488584,
1,40,0.9,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
1,40,0.9,clip_2,167,0.592814371257485,0.46788990825688076,0.8275862068965517,0.1724137931034483,0.592814371257485,
1,40,0.9,clip_3,219,0.4748858447488584,0.49382716049382713,0.42105263157894735,0.5789473684210527,0.4748858447488584,
1,50,0.3,clip_1,102,0.7156862745098039,0.6741573033707865,1.0,0.0,0.7156862745098039,
1,50,0.3,clip_2,167,0.5808383233532934,0.46788990825688076,0.7931034482758621,0.20689655172413793,0.5808383233532934,
1,50,0.3,clip_3,219,0.4703196347031963,0.5,0.38596491228070173,0.6140350877192983,0.4703196347031963,
1,50,0.5,clip_1,102,0.7156862745098039,0.6741573033707865,1.0,0.0,0.7156862745098039,
1,50,0.5,clip_2,167,0.5808383233532934,0.46788990825688076,0.7931034482758621,0.20689655172413793,0.5808383233532934,
1,50,0.5,clip_3,219,0.4703196347031963,0.5,0.38596491228070173,0.6140350877192983,0.4703196347031963,
1,50,0.7,clip_1,102,0.7156862745098039,0.6741573033707865,1.0,0.0,0.7156862745098039,
1,50,0.7,clip_2,167,0.5748502994011976,0.45871559633027525,0.7931034482758621,0.20689655172413793,0.5748502994011976,
1,50,0.7,clip_3,219,0.4794520547945205,0.5123456790123457,0.38596491228070173,0.6140350877192983,0.4794520547945205,
1,50,0.8,clip_1,102,0.7156862745098039,0.6741573033707865,1.0,0.0,0.7156862745098039,
1,50,0.8,clip_2,167,0.5808383233532934,0.46788990825688076,0.7931034482758621,0.20689655172413793,0.5808383233532934,
1,50,0.8,clip_3,219,0.4794520547945205,0.5123456790123457,0.38596491228070173,0.6140350877192983,0.4794520547945205,
1,50,0.9,clip_1,102,0.7156862745098039,0.6741573033707865,1.0,0.0,0.7156862745098039,
1,50,0.9,clip_2,167,0.5808383233532934,0.46788990825688076,0.7931034482758621,0.20689655172413793,0.5808383233532934,
1,50,0.9,clip_3,219,0.4794520547945205,0.5123456790123457,0.38596491228070173,0.6140350877192983,0.4794520547945205,
1,60,0.3,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,60,0.3,clip_2,167,0.5568862275449101,0.46788990825688076,0.7241379310344828,0.27586206896551724,0.5568862275449101,
1,60,0.3,clip_3,219,0.4748858447488584,0.5185185185185185,0.3508771929824561,0.6491228070175439,0.4748858447488584,
1,60,0.5,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,60,0.5,clip_2,167,0.5568862275449101,0.46788990825688076,0.7241379310344828,0.27586206896551724,0.5568862275449101,
1,60,0.5,clip_3,219,0.4748858447488584,0.5185185185185185,0.3508771929824561,0.6491228070175439,0.4748858447488584,
1,60,0.7,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,60,0.7,clip_2,167,0.5508982035928144,0.45871559633027525,0.7241379310344828,0.27586206896551724,0.5508982035928144,
1,60,0.7,clip_3,219,0.4840182648401826,0.5308641975308642,0.3508771929824561,0.6491228070175439,0.4840182648401826,
1,60,0.8,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,60,0.8,clip_2,167,0.5568862275449101,0.46788990825688076,0.7241379310344828,0.27586206896551724,0.5568862275449101,
1,60,0.8,clip_3,219,0.4840182648401826,0.5308641975308642,0.3508771929824561,0.6491228070175439,0.4840182648401826,
1,60,0.9,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,60,0.9,clip_2,167,0.5568862275449101,0.46788990825688076,0.7241379310344828,0.27586206896551724,0.5568862275449101,
1,60,0.9,clip_3,219,0.4840182648401826,0.5308641975308642,0.3508771929824561,0.6491228070175439,0.4840182648401826,
1,80,0.3,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,80,0.3,clip_2,167,0.5449101796407185,0.46788990825688076,0.6896551724137931,0.3103448275862069,0.5449101796407185,
1,80,0.3,clip_3,219,0.4703196347031963,0.5185185185185185,0.3333333333333333,0.6666666666666666,0.4703196347031963,
1,80,0.5,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,80,0.5,clip_2,167,0.5449101796407185,0.46788990825688076,0.6896551724137931,0.3103448275862069,0.5449101796407185,
1,80,0.5,clip_3,219,0.4703196347031963,0.5185185185185185,0.3333333333333333,0.6666666666666666,0.4703196347031963,
1,80,0.7,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,80,0.7,clip_2,167,0.5389221556886228,0.45871559633027525,0.6896551724137931,0.3103448275862069,0.5389221556886228,
1,80,0.7,clip_3,219,0.4794520547945205,0.5308641975308642,0.3333333333333333,0.6666666666666666,0.4794520547945205,
1,80,0.8,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,80,0.8,clip_2,167,0.5449101796407185,0.46788990825688076,0.6896551724137931,0.3103448275862069,0.5449101796407185,
1,80,0.8,clip_3,219,0.4794520547945205,0.5308641975308642,0.3333333333333333,0.6666666666666666,0.4794520547945205,
1,80,0.9,clip_1,102,0.7156862745098039,0.6853932584269663,0.9230769230769231,0.07692307692307693,0.7156862745098039,
1,80,0.9,clip_2,167,0.5449101796407185,0.46788990825688076,0.6896551724137931,0.3103448275862069,0.5449101796407185,
1,80,0.9,clip_3,219,0.4794520547945205,0.5308641975308642,0.3333333333333333,0.6666666666666666,0.4794520547945205,
2,20,0.3,clip_1,102,0.5490196078431373,0.48314606741573035,1.0,0.0,0.5490196078431373,
2,20,0.3,clip_2,167,0.6287425149700598,0.46788990825688076,0.9310344827586207,0.06896551724137931,0.6287425149700598,
2,20,0.3,clip_3,219,0.4429223744292237,0.3888888888888889,0.5964912280701754,0.40350877192982454,0.4429223744292237,
2,20,0.5,clip_1,102,0.5490196078431373,0.48314606741573035,1.0,0.0,0.5490196078431373,
2,20,0.5,clip_2,167,0.6287425149700598,0.46788990825688076,0.9310344827586207,0.06896551724137931,0.6287425149700598,
2,20,0.5,clip_3,219,0.4429223744292237,0.3888888888888889,0.5964912280701754,0.40350877192982454,0.4429223744292237,
2,20,0.7,clip_1,102,0.5490196078431373,0.48314606741573035,1.0,0.0,0.5490196078431373,
2,20,0.7,clip_2,167,0.6167664670658682,0.44954128440366975,0.9310344827586207,0.06896551724137931,0.6167664670658682,
2,20,0.7,clip_3,219,0.4520547945205479,0.4012345679012346,0.5964912280701754,0.40350877192982454,0.4520547945205479,
2,20,0.8,clip_1,102,0.5490196078431373,0.48314606741573035,1.0,0.0,0.5490196078431373,
2,20,0.8,clip_2,167,0.6167664670658682,0.44954128440366975,0.9310344827586207,0.06896551724137931,0.6167664670658682,
2,20,0.8,clip_3,219,0.4474885844748858,0.4012345679012346,0.5789473684210527,0.42105263157894735,0.4474885844748858,
2,20,0.9,clip_1,102,0.5490196078431373,0.48314606741573035,1.0,0.0,0.5490196078431373,
2,20,0.9,clip_2,167,0.6167664670658682,0.44954128440366975,0.9310344827586207,0.06896551724137931,0.6167664670658682,
2,20,0.9,clip_3,219,0.4474885844748858,0.4012345679012346,0.5789473684210527,0.42105263157894735,0.4474885844748858,
2,30,0.3,clip_1,102,0.6470588235294118,0.5955056179775281,1.0,0.0,0.6470588235294118,
2,30,0.3,clip_2,167,0.6407185628742516,0.48623853211009177,0.9310344827586207,0.06896551724137931,0.6407185628742516,
2,30,0.3,clip_3,219,0.4748858447488584,0.4506172839506173,0.543859649122807,0.45614035087719296,0.4748858447488584,
2,30,0.5,clip_1,102,0.6470588235294118,0.5955056179775281,1.0,0.0,0.6470588235294118,
2,30,0.5,clip_2,167,0.6407185628742516,0.48623853211009177,0.9310344827586207,0.06896551724137931,0.6407185628742516,
2,30,0.5,clip_3,219,0.4748858447488584,0.4506172839506173,0.543859649122807,0.45614035087719296,0.4748858447488584,
2,30,0.7,clip_1,102,0.6470588235294118,0.5955056179775281,1.0,0.0,0.6470588235294118,
2,30,0.7,clip_2,167,0.6287425149700598,0.46788990825688076,0.9310344827586207,0.06896551724137931,0.6287425149700598,
2,30,0.7,clip_3,219,0.4840182648401826,0.46296296296296297,0.543859649122807,0.45614035087719296,0.4840182648401826,
2,30,0.8,clip_1,102,0.6470588235294118,0.5955056179775281,1.0,0.0,0.6470588235294118,
2,30,0.8,clip_2,167,0.6407185628742516,0.4954128440366973,0.9137931034482759,0.08620689655172414,0.6407185628742516,
2,30,0.8,clip_3,219,0.4794520547945205,0.46296296296296297,0.5263157894736842,0.47368421052631576,0.4794520547945205,
2,30,0.9,clip_1,102,0.6470588235294118,0.5955056179775281,1.0,0.0,0.6470588235294118,
2,30,0.9,clip_2,167,0.6407185628742516,0.4954128440366973,0.9137931034482759,0.08620689655172414,0.6407185628742516,
2,30,0.9,clip_3,219,0.4794520547945205,0.46296296296296297,0.5263157894736842,0.47368421052631576,0.4794520547945205,
2,40,0.3,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
2,40,0.3,clip_2,167,0.6227544910179641,0.46788990825688076,0.9137931034482759,0.08620689655172414,0.6227544910179641,
2,40,0.3,clip_3,219,0.4931506849315068,0.5061728395061729,0.45614035087719296,0.543859649122807,0.4931506849315068,
2,40,0.5,clip_1,102,0.7058823529411765,0.6629213483146067,1.0,0.0,0.7058823529411765,
2,40,0.5,clip_2,167,0.6227544910179641,0.46788990825688076,0.9137931034482759,0.08620689655172414,0.6227544910179641,
