clip,basis,n_frames,n_team_1,n_team_2,n_no_holder,n_holder_unlabelled,attribution_rate,team_1_share,team_2_share
clip_1,predicted_full,117,8,83,26,0,0.7777777777777778,0.08791208791208792,0.9120879120879121
clip_1,predicted_restricted,102,4,82,16,0,0.8431372549019608,0.046511627906976744,0.9534883720930233
clip_1,oracle_possession,102,5,84,13,0,0.8725490196078431,0.056179775280898875,0.9438202247191011
clip_2,predicted_full,174,78,33,63,0,0.6379310344827587,0.7027027027027027,0.2972972972972973
clip_2,predicted_restricted,167,77,33,57,0,0.6586826347305389,0.7,0.3
clip_2,oracle_possession,167,108,1,58,0,0.6526946107784432,0.9908256880733946,0.009174311926605505
clip_3,predicted_full,243,115,53,75,0,0.691358024691358,0.6845238095238095,0.31547619047619047
clip_3,predicted_restricted,219,104,44,71,0,0.6757990867579908,0.7027027027027027,0.2972972972972973
clip_3,oracle_possession,219,118,44,57,0,0.7397260273972602,0.7283950617283951,0.2716049382716049
