clip,frame_idx,player_id,predicted_team,confidence,crop_ok
clip_1,2,1,2,0.7913235425949097,True
clip_1,2,2,2,0.7732077836990356,True
clip_1,2,4,2,0.64745032787323,True
clip_1,2,3,2,0.8625418543815613,True
clip_1,2,5,2,0.891833484172821,True
clip_1,2,6,1,0.7083391547203064,True
clip_1,3,2,2,0.8212505578994751,True
clip_1,3,1,2,0.7890138030052185,True
clip_1,3,4,2,0.6366469264030457,True
clip_1,3,3,2,0.8551704287528992,True
clip_1,3,6,1,0.7105569243431091,True
clip_1,3,5,2,0.9440572261810303,True
clip_1,4,7,1,0.8171182870864868,True
clip_1,4,1,2,0.7940123081207275,True
clip_1,4,5,2,0.926734209060669,True
clip_1,4,3,2,0.8225200772285461,True
clip_1,4,2,2,0.8670006394386292,True
clip_1,4,4,2,0.6449100375175476,True
clip_1,4,6,1,0.6795768737792969,True
clip_1,4,8,2,0.7791017889976501,True
clip_1,5,1,2,0.7998209595680237,True
clip_1,5,7,1,0.8636809587478638,True
clip_1,5,6,1,0.6733059883117676,True
clip_1,5,3,2,0.8106503486633301,True
clip_1,5,4,2,0.6371355652809143,True
clip_1,5,5,2,0.8901390433311462,True
clip_1,5,2,2,0.8467250466346741,True
clip_1,5,8,2,0.8187673687934875,True
clip_1,6,1,2,0.7949888110160828,True
clip_1,6,7,1,0.842105507850647,True
clip_1,6,5,2,0.8435353636741638,True
clip_1,6,2,2,0.8521037697792053,True
clip_1,6,6,1,0.7164994478225708,True
clip_1,6,4,2,0.6452013254165649,True
clip_1,6,3,2,0.7816411852836609,True
clip_1,6,8,2,0.8707862496376038,True
clip_1,7,7,1,0.8385913372039795,True
clip_1,7,1,2,0.7924245595932007,True
clip_1,7,2,2,0.8598370552062988,True
clip_1,7,6,1,0.7177554965019226,True
clip_1,7,3,2,0.8305673003196716,True
clip_1,7,4,2,0.6506003737449646,True
clip_1,7,8,2,0.851026713848114,True
clip_1,7,5,2,0.8007457256317139,True
clip_1,8,7,1,0.8535819053649902,True
clip_1,8,1,2,0.8090193867683411,True
clip_1,8,6,1,0.7104593515396118,True
clip_1,8,2,2,0.8530508279800415,True
clip_1,8,3,2,0.852645218372345,True
clip_1,8,4,2,0.6586208939552307,True
clip_1,8,8,2,0.8467456102371216,True
clip_1,8,9,1,0.8098377585411072,True
clip_1,8,5,2,0.7628847360610962,True
clip_1,8,10,2,0.7725672125816345,True
clip_1,9,7,1,0.8277414441108704,True
clip_1,9,2,2,0.8143314719200134,True
clip_1,9,1,2,0.8037309646606445,True
clip_1,9,6,1,0.6927245855331421,True
clip_1,9,3,2,0.8739193081855774,True
clip_1,9,9,1,0.7809409499168396,True
clip_1,9,4,2,0.6743103861808777,True
clip_1,10,2,2,0.7951143980026245,True
clip_1,10,7,1,0.835539698600769,True
clip_1,10,1,2,0.8111850023269653,True
clip_1,10,6,1,0.7158775925636292,True
clip_1,10,3,2,0.8645395040512085,True
clip_1,10,4,2,0.7073814868927002,True
clip_1,10,8,2,0.8806771039962769,True
clip_1,10,10,2,0.8327614068984985,True
clip_1,10,5,2,0.800463855266571,True
clip_1,11,2,2,0.7814518809318542,True
clip_1,11,6,1,0.7178314328193665,True
clip_1,11,4,2,0.6703231930732727,True
clip_1,11,1,2,0.816514253616333,True
clip_1,11,3,2,0.8601465821266174,True
clip_1,11,7,1,0.8392930626869202,True
clip_1,11,8,2,0.8382378816604614,True
clip_1,11,9,1,0.6096454858779907,True
clip_1,12,2,2,0.8072107434272766,True
clip_1,12,3,2,0.8622190356254578,True
clip_1,12,1,2,0.8285685777664185,True
clip_1,12,4,2,0.675841212272644,True
clip_1,12,7,1,0.9447391033172607,True
clip_1,12,6,1,0.7448403835296631,True
clip_1,12,10,2,0.8286487460136414,True
clip_1,13,2,2,0.8088279366493225,True
clip_1,13,3,2,0.8651268482208252,True
clip_1,13,4,2,0.6711368560791016,True
clip_1,13,6,1,0.7486811876296997,True
clip_1,13,1,2,0.8200885057449341,True
clip_1,13,7,1,0.926250159740448,True
clip_1,13,8,2,0.8146672248840332,True
clip_1,14,7,1,0.8762860298156738,True
clip_1,14,2,2,0.813525915145874,True
clip_1,14,3,2,0.8893359899520874,True
clip_1,14,4,2,0.6557019948959351,True
clip_1,14,1,2,0.8172899484634399,True
clip_1,14,6,1,0.770500898361206,True
clip_1,14,9,1,0.5594572424888611,True
clip_1,14,8,2,0.7195791006088257,True
clip_1,14,5,2,0.8179646134376526,True
clip_1,15,3,2,0.8904191851615906,True
clip_1,15,2,2,0.8230589628219604,True
clip_1,15,7,1,0.9470055103302002,True
clip_1,15,6,1,0.772408127784729,True
clip_1,15,1,2,0.8071164488792419,True
clip_1,15,8,2,0.7072793245315552,True
clip_1,15,4,2,0.6574682593345642,True
clip_1,15,9,2,0.5667339563369751,True
clip_1,15,11,1,0.7927514314651489,True
clip_1,16,3,2,0.8696808815002441,True
clip_1,16,2,2,0.8290669918060303,True
clip_1,16,6,1,0.7683641314506531,True
clip_1,16,1,2,0.8036683201789856,True
clip_1,16,4,2,0.6308748126029968,True
clip_1,16,7,1,0.925694465637207,True
clip_1,16,5,2,0.8012656569480896,True
clip_1,16,11,1,0.8179774284362793,True
clip_1,16,8,2,0.5917752981185913,True
clip_1,16,9,1,0.5975239276885986,True
