method,variant,crop_fraction,policy,held_out,threshold,train_eff_acc,test_eff_acc,test_acc,n_decided,abstain_pct
embedding,,0.5,track_majority,clip_3,0.5011,0.6341,0.6029,0.6046,746,0.3
embedding,,0.5,window_weighted,clip_1,0.5006,0.5574,0.5401,0.5401,137,0.0
embedding,,0.5,window_weighted,clip_2,0.5006,0.5571,0.551,0.551,314,0.0
embedding,,0.5,window_weighted,clip_3,0.5011,0.5477,0.5575,0.559,746,0.3
fashionclip,A_generic,0.667,none,clip_1,0.5069,0.9605,0.7591,0.7591,137,0.0
fashionclip,A_generic,0.667,none,clip_2,0.5074,0.9367,0.9395,0.9395,314,0.0
fashionclip,A_generic,0.667,none,clip_3,0.5047,0.8847,0.9693,0.9693,748,0.0
fashionclip,A_generic,0.667,memoise_reset,clip_1,0.5069,0.8992,0.8686,0.8686,137,0.0
fashionclip,A_generic,0.667,memoise_reset,clip_2,0.5074,0.8768,0.949,0.949,314,0.0
fashionclip,A_generic,0.667,memoise_reset,clip_3,0.5047,0.9246,0.8783,0.8783,748,0.0
fashionclip,A_generic,0.667,track_majority,clip_1,0.5069,0.9284,0.8029,0.8029,137,0.0
fashionclip,A_generic,0.667,track_majority,clip_2,0.5074,0.8847,0.9968,0.9968,314,0.0
fashionclip,A_generic,0.667,track_majority,clip_3,0.5047,0.9379,0.8997,0.8997,748,0.0
fashionclip,A_generic,0.667,window_weighted,clip_1,0.5069,0.9783,0.7518,0.7518,137,0.0
fashionclip,A_generic,0.667,window_weighted,clip_2,0.5074,0.9424,0.9809,0.9809,314,0.0
fashionclip,A_generic,0.667,window_weighted,clip_3,0.5047,0.9113,0.9773,0.9773,748,0.0
fashionclip,B_domain,0.667,none,clip_1,0.506,0.9661,0.7664,0.7664,137,0.0
fashionclip,B_domain,0.667,none,clip_2,0.5088,0.9446,0.9395,0.9425,313,0.3
fashionclip,B_domain,0.667,none,clip_3,0.5059,0.8869,0.9773,0.9773,748,0.0
fashionclip,B_domain,0.667,memoise_reset,clip_1,0.506,0.9021,0.8759,0.8759,137,0.0
fashionclip,B_domain,0.667,memoise_reset,clip_2,0.5088,0.8814,0.9459,0.9489,313,0.3
fashionclip,B_domain,0.667,memoise_reset,clip_3,0.5059,0.9268,0.8824,0.8824,748,0.0
fashionclip,B_domain,0.667,track_majority,clip_1,0.506,0.9284,0.8029,0.8029,137,0.0
fashionclip,B_domain,0.667,track_majority,clip_2,0.5088,0.8847,0.9936,0.9968,313,0.3
fashionclip,B_domain,0.667,track_majority,clip_3,0.5059,0.9379,0.8997,0.8997,748,0.0
fashionclip,B_domain,0.667,window_weighted,clip_1,0.506,0.9831,0.7445,0.7445,137,0.0
fashionclip,B_domain,0.667,window_weighted,clip_2,0.5088,0.9469,0.9777,0.9808,313,0.3
fashionclip,B_domain,0.667,window_weighted,clip_3,0.5059,0.9091,0.984,0.984,748,0.0
fashionclip,C_nba,0.667,none,clip_1,0.5093,0.9661,0.7956,0.8015,136,0.7
fashionclip,C_nba,0.667,none,clip_2,0.5049,0.948,0.9427,0.9427,314,0.0
fashionclip,C_nba,0.667,none,clip_3,0.504,0.9002,0.9759,0.9759,748,0.0
fashionclip,C_nba,0.667,memoise_reset,clip_1,0.5093,0.919,0.8686,0.875,136,0.7
fashionclip,C_nba,0.667,memoise_reset,clip_2,0.5049,0.9017,0.949,0.949,314,0.0
fashionclip,C_nba,0.667,memoise_reset,clip_3,0.504,0.9268,0.9078,0.9078,748,0.0
fashionclip,C_nba,0.667,track_majority,clip_1,0.5093,0.9284,0.7956,0.8015,136,0.7
