clip,frame_idx,player_id,predicted_team,confidence,crop_ok
clip_3,2,4,1,0.9987818598747253,True
clip_3,2,2,2,0.9888346791267395,True
clip_3,2,1,2,0.999864935874939,True
clip_3,2,5,1,0.9997665286064148,True
clip_3,2,3,2,0.52741539478302,True
clip_3,2,7,1,0.9848087430000305,True
clip_3,2,8,1,0.9864827990531921,True
clip_3,2,6,2,0.9997010827064514,True
clip_3,2,10,2,0.9990967512130737,True
clip_3,2,9,2,0.9998444318771362,True
clip_3,3,4,1,0.9985353946685791,True
clip_3,3,5,1,0.9989643096923828,True
clip_3,3,2,2,0.9920684099197388,True
clip_3,3,1,2,0.9994736313819885,True
clip_3,3,7,1,0.9913849830627441,True
clip_3,3,8,1,0.9949947595596313,True
clip_3,3,3,2,0.8569328188896179,True
clip_3,3,6,2,0.999983549118042,True
clip_3,3,10,2,0.9986370205879211,True
clip_3,3,9,2,0.9997407793998718,True
clip_3,4,4,1,0.9989027976989746,True
clip_3,4,5,1,0.9995204210281372,True
clip_3,4,1,2,0.9996097683906555,True
clip_3,4,2,2,0.9652390480041504,True
clip_3,4,6,2,0.9999855756759644,True
clip_3,4,8,1,0.9900563955307007,True
clip_3,4,3,2,0.9907805323600769,True
clip_3,4,7,1,0.992741584777832,True
clip_3,4,10,2,0.9987683892250061,True
clip_3,4,9,2,0.9998534917831421,True
clip_3,5,4,1,0.9995278120040894,True
clip_3,5,5,1,0.9989890456199646,True
clip_3,5,6,2,0.9999861717224121,True
clip_3,5,1,2,0.9995343685150146,True
clip_3,5,2,2,0.9253756403923035,True
clip_3,5,7,1,0.9990111589431763,True
clip_3,5,8,1,0.9949060678482056,True
clip_3,5,10,2,0.9985748529434204,True
clip_3,5,3,2,0.9885801672935486,True
clip_3,5,9,2,0.9996857643127441,True
clip_3,6,4,1,0.9989948868751526,True
clip_3,6,5,1,0.999613344669342,True
clip_3,6,1,2,0.9999232292175293,True
clip_3,6,6,2,0.9994346499443054,True
clip_3,6,7,1,0.9995410442352295,True
clip_3,6,10,2,0.998995840549469,True
clip_3,6,8,1,0.9983294606208801,True
clip_3,6,2,2,0.9717750549316406,True
clip_3,6,9,2,0.9992446899414062,True
clip_3,6,3,2,0.9936095476150513,True
clip_3,7,4,1,0.9985159039497375,True
clip_3,7,5,1,0.9995881915092468,True
clip_3,7,1,2,0.9996379613876343,True
clip_3,7,6,2,0.9996175765991211,True
clip_3,7,7,1,0.9994522929191589,True
clip_3,7,2,2,0.9961391091346741,True
clip_3,7,10,2,0.9993411898612976,True
clip_3,7,8,1,0.9969797730445862,True
clip_3,7,3,2,0.885114848613739,True
clip_3,7,9,2,0.9956082701683044,True
clip_3,8,4,1,0.9986034035682678,True
clip_3,8,1,2,0.9999154806137085,True
clip_3,8,5,1,0.9998438358306885,True
clip_3,8,7,1,0.9998838901519775,True
clip_3,8,6,2,0.998239278793335,True
clip_3,8,3,2,0.9048546552658081,True
clip_3,8,8,1,0.9988351464271545,True
clip_3,8,10,2,0.9990836381912231,True
clip_3,8,9,2,0.9987071752548218,True
clip_3,9,4,1,0.9992820620536804,True
clip_3,9,5,1,0.9994995594024658,True
clip_3,9,1,2,0.9997853636741638,True
clip_3,9,8,1,0.9979140162467957,True
clip_3,9,7,1,0.9987120628356934,True
clip_3,9,2,2,0.9898980855941772,True
clip_3,9,10,2,0.9992976188659668,True
clip_3,9,6,2,0.9997689127922058,True
clip_3,9,9,2,0.9810662269592285,True
clip_3,9,3,2,0.9079453349113464,True
clip_3,10,4,1,0.9997307658195496,True
clip_3,10,5,1,0.999795138835907,True
clip_3,10,7,1,0.9995868802070618,True
clip_3,10,8,1,0.997748076915741,True
clip_3,10,6,2,0.999955415725708,True
clip_3,10,1,2,0.9998443126678467,True
clip_3,10,2,2,0.8921365141868591,True
clip_3,10,10,2,0.9993151426315308,True
clip_3,10,9,2,0.9607165455818176,True
clip_3,10,3,2,0.8319264650344849,True
clip_3,11,4,1,0.9997938275337219,True
clip_3,11,5,1,0.99850994348526,True
clip_3,11,2,2,0.9811181426048279,True
clip_3,11,6,2,0.9994530081748962,True
clip_3,11,7,1,0.9994218349456787,True
clip_3,11,1,2,0.9997101426124573,True
clip_3,11,8,1,0.9968241453170776,True
clip_3,11,10,2,0.9997307658195496,True
clip_3,11,9,2,0.9570733308792114,True
clip_3,11,3,2,0.9868180751800537,True
clip_3,12,4,1,0.9998244643211365,True
clip_3,12,5,1,0.9995471835136414,True
clip_3,12,2,2,0.9194085001945496,True
clip_3,12,6,2,0.9998887777328491,True
clip_3,12,7,1,0.9982276558876038,True
clip_3,12,1,2,0.9994339346885681,True
clip_3,12,10,2,0.999359667301178,True
clip_3,12,8,1,0.9996664524078369,True
clip_3,12,9,2,0.9918348789215088,True
clip_3,12,3,2,0.9869372248649597,True
clip_3,13,4,1,0.9997642636299133,True
clip_3,13,2,2,0.7412542700767517,True
clip_3,13,5,1,0.9986152648925781,True
clip_3,13,7,1,0.9986371397972107,True
clip_3,13,6,2,0.9998205304145813,True
clip_3,13,1,2,0.999763548374176,True
clip_3,13,10,2,0.9997268319129944,True
clip_3,13,8,1,0.9988197684288025,True
clip_3,13,9,2,0.9887575507164001,True
clip_3,13,3,2,0.987327516078949,True
clip_3,14,4,1,0.999549925327301,True
clip_3,14,2,2,0.9502019286155701,True
clip_3,14,5,1,0.9993491768836975,True
clip_3,14,6,2,0.9998600482940674,True
clip_3,14,1,2,0.9999357461929321,True
clip_3,14,7,1,0.9983086585998535,True
clip_3,14,10,2,0.9996849298477173,True
clip_3,14,8,1,0.9992164373397827,True
clip_3,14,9,2,0.9847230911254883,True
clip_3,14,3,2,0.9933979511260986,True
clip_3,15,4,1,0.9989780187606812,True
clip_3,15,2,2,0.962801992893219,True
clip_3,15,5,1,0.9997077584266663,True
clip_3,15,6,2,0.9997556805610657,True
clip_3,15,1,2,0.9998317956924438,True
clip_3,15,10,2,0.9997487664222717,True
clip_3,15,7,1,0.9985631108283997,True
clip_3,15,8,1,0.9992530941963196,True
clip_3,15,9,2,0.9942834973335266,True
clip_3,15,3,2,0.9946855306625366,True
clip_3,16,4,1,0.9992631077766418,True
clip_3,16,2,2,0.9611089825630188,True
clip_3,16,5,1,0.9999213218688965,True
clip_3,16,6,2,0.9997305274009705,True
clip_3,16,1,2,0.9997493624687195,True
clip_3,16,8,1,0.9993568062782288,True
clip_3,16,7,1,0.9987362027168274,True
clip_3,16,10,2,0.9989843964576721,True
clip_3,16,9,2,0.9830709099769592,True
clip_3,17,4,1,0.9995470643043518,True
clip_3,17,5,1,0.9998936653137207,True
clip_3,17,2,2,0.9291197657585144,True
clip_3,17,6,2,0.9981653094291687,True
clip_3,17,10,2,0.9991158843040466,True
clip_3,17,8,1,0.9991708993911743,True
clip_3,17,1,2,0.9998779296875,True
clip_3,17,7,1,0.9992513060569763,True
clip_3,17,9,2,0.9783816337585449,True
clip_3,17,3,2,0.9848087430000305,True
clip_3,18,4,1,0.9994091987609863,True
clip_3,18,2,2,0.9380776286125183,True
clip_3,18,5,1,0.9996738433837891,True
clip_3,18,6,2,0.9968162178993225,True
clip_3,18,10,2,0.9995416402816772,True
clip_3,18,1,2,0.999936580657959,True
clip_3,18,8,1,0.9996395111083984,True
clip_3,18,9,2,0.9794278740882874,True
clip_3,18,7,1,0.9996657371520996,True
clip_3,18,3,2,0.9895138740539551,True
clip_3,19,4,1,0.999329686164856,True
clip_3,19,5,1,0.9995166063308716,True
clip_3,19,6,2,0.9984442591667175,True
clip_3,19,2,2,0.9726259708404541,True
clip_3,19,1,2,0.9999020099639893,True
clip_3,19,8,1,0.999221920967102,True
clip_3,19,10,2,0.9994725584983826,True
clip_3,19,9,2,0.9903228282928467,True
clip_3,19,7,1,0.9992030262947083,True
clip_3,20,4,1,0.9992532134056091,True
clip_3,20,5,1,0.9995612502098083,True
clip_3,20,8,1,0.999578058719635,True
clip_3,20,2,2,0.9880629777908325,True
clip_3,20,6,2,0.9993818998336792,True
clip_3,20,1,2,0.9999417066574097,True
clip_3,20,10,2,0.9965773224830627,True
clip_3,20,7,1,0.999714195728302,True
clip_3,20,9,2,0.9877544045448303,True
clip_3,21,4,1,0.998946487903595,True
clip_3,21,5,1,0.9996054768562317,True
clip_3,21,2,2,0.9911506175994873,True
clip_3,21,8,1,0.9990185499191284,True
clip_3,21,6,2,0.9997634291648865,True
clip_3,21,1,2,0.9999576807022095,True
clip_3,21,10,2,0.9973758459091187,True
clip_3,21,7,1,0.9995070695877075,True
clip_3,21,3,2,0.9846763014793396,True
clip_3,21,9,2,0.9786728024482727,True
clip_3,22,4,1,0.9985517859458923,True
clip_3,22,5,1,0.99970942735672,True
clip_3,22,2,2,0.9881781935691833,True
clip_3,22,8,1,0.9957544803619385,True
clip_3,22,1,2,0.9998778104782104,True
clip_3,22,6,2,0.9994080066680908,True
clip_3,22,7,1,0.9954990744590759,True
clip_3,22,10,2,0.9986151456832886,True
clip_3,22,3,2,0.9753723740577698,True
clip_3,22,9,2,0.968014121055603,True
clip_3,23,4,1,0.998646080493927,True
